"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.757346000E-3,4.497587681E-1,2.259960175E-1,-2.633476257E-1,5.680749258E-1
1.378286700E-2,4.701886177E-1,8.199143410E-2,-2.023229599E-1,5.183960953E-1
1.880849200E-2,4.760751724E-1,-1.116120815E-1,-2.765522003E-1,5.617703677E-1
2.383422100E-2,2.963924408E-1,-6.962919235E-2,-9.535598755E-2,3.190446172E-1
2.886005500E-2,1.788949966E-1,-8.596897125E-3,8.809280396E-2,1.995937589E-1
3.388599200E-2,1.832575798E-1,8.448410034E-2,2.604379654E-1,3.294675061E-1
3.891198200E-2,3.545436859E-1,1.752395630E-1,2.848052979E-1,4.873645323E-1
4.393802300E-2,5.100862980E-1,1.828405857E-1,2.339191437E-1,5.902007090E-1
4.896406500E-2,2.747502327E-1,-3.922271729E-2,3.221035004E-1,4.251785235E-1
5.399010700E-2,3.087985516E-1,-2.309274673E-2,2.436389923E-1,3.940174856E-1
5.901604400E-2,5.939908028E-1,-3.125572205E-2,1.936302185E-1,6.255354950E-1
6.404156500E-2,8.060524464E-1,3.274202347E-3,1.336288452E-1,8.170605455E-1
6.906703400E-2,8.977243900E-1,9.070873260E-3,8.757209778E-2,9.020311710E-1
7.409250200E-2,8.030877113E-1,-3.740835190E-2,1.125345230E-1,8.117963265E-1
7.911797100E-2,5.277979374E-1,-8.849978447E-2,2.225046158E-1,5.795784491E-1
8.414344000E-2,2.524093390E-1,-1.444256306E-1,1.988363266E-1,3.522855687E-1
8.916890900E-2,5.081176758E-2,-2.147061825E-1,3.366184235E-2,2.231898299E-1
9.419437700E-2,-1.180160046E-1,-2.752225399E-1,-1.242532730E-1,3.242130467E-1
9.921984600E-2,-2.665015459E-1,-3.352217674E-1,-2.224121094E-1,4.825596893E-1
1.042453150E-1,-1.736626625E-1,-5.370359421E-1,-2.705984116E-1,6.259311654E-1
1.092707840E-1,-2.073539495E-1,-5.803823471E-1,-3.189373016E-2,6.171357543E-1
1.142962520E-1,-2.117929459E-1,-5.670154095E-1,1.253519058E-1,6.181228250E-1
1.193217210E-1,-3.042669296E-1,-5.215656757E-1,1.588897705E-1,6.243837584E-1
1.243471900E-1,-5.641463399E-1,-9.192259312E-1,6.014347076E-2,1.080210462E0
1.293726590E-1,-5.585740805E-1,-9.726727009E-1,-1.032781601E-1,1.126394054E0
1.343981270E-1,-3.967667818E-1,-7.566926479E-1,-1.735515594E-1,8.718530761E-1
1.394235960E-1,-2.773910761E-1,-5.114960670E-1,-1.224536896E-1,5.946166343E-1
1.444490650E-1,-2.304698229E-1,-2.333710194E-1,1.064662933E-1,3.448382861E-1
1.494745340E-1,-1.035430431E-1,2.014589310E-2,3.028526306E-1,3.206972633E-1
1.545000020E-1,-6.212592125E-2,1.641383171E-1,3.241920471E-1,3.686482072E-1
1.595254710E-1,-1.418827772E-1,2.146017551E-1,2.758970261E-1,3.772317653E-1
1.645509400E-1,-2.310966253E-1,1.636910439E-1,1.627912521E-1,3.266518022E-1
