"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.409715180E-1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.510324550E-1,1.999999955E-2,-2.343845367E-2,-1.928901672E-2,3.635144095E-2
1.609764660E-1,3.999999911E-2,-5.278253555E-2,-6.479883194E-2,9.265465239E-2
1.709715180E-1,-8.999999613E-2,-8.720159531E-2,-1.107654572E-1,1.672516189E-1
1.809720390E-1,-3.999999911E-2,-1.259760857E-1,-1.544837952E-1,2.033106418E-1
1.909923510E-1,4.904965323E-10,-1.562175751E-1,-1.928639412E-1,2.481943403E-1
2.009771950E-1,3.428571299E-2,-1.884245872E-1,-2.104110718E-1,2.845209207E-1
2.109791220E-1,6.499999762E-2,-1.964030266E-1,-1.814670563E-1,2.751898273E-1
2.209808930E-1,-8.444444090E-2,-1.851649284E-1,-1.240677834E-1,2.383479163E-1
2.309736530E-1,-3.999999911E-2,-1.716103554E-1,-5.659532547E-2,1.850760516E-1
2.409727160E-1,4.716819157E-10,-1.514749527E-1,-3.400087357E-2,1.552440682E-1
2.509806320E-1,3.666666523E-2,-1.348514557E-1,-5.174875259E-2,1.490211154E-1
2.609712570E-1,7.076922804E-2,-1.254816055E-1,-9.307432175E-2,1.715131083E-1
2.709632890E-1,-8.285713941E-2,-1.082911491E-1,-1.718602180E-1,2.193814329E-1
2.809741220E-1,-3.999999911E-2,-8.009862900E-2,-8.425459862E-1,8.472895191E-1
2.909728200E-1,9.313225538E-12,-3.366279602E-2,-8.854961395E-1,8.861357667E-1
3.009631320E-1,3.764705732E-2,2.318000793E-2,-9.358634949E-1,9.369071964E-1
3.109759450E-1,7.333333045E-2,9.323072433E-2,-9.645643234E-1,9.718302729E-1
3.209759450E-1,-8.210526407E-2,1.648812294E-1,-9.242024422E-1,9.423785059E-1
3.309702160E-1,-3.999999911E-2,2.471141815E-1,-8.218727112E-1,8.591508436E-1
3.409712570E-1,-2.424239698E-10,9.386105537E-1,-7.054743767E-1,1.174173696E0
3.509754240E-1,3.818181530E-2,9.623117447E-1,-5.681858063E-1,1.118184625E0
3.609696950E-1,7.478260994E-2,9.974331856E-1,1.401548386E-1,1.010004345E0
3.709970910E-1,-8.166666329E-2,1.004535675E0,1.787447929E-1,1.023577582E0
3.809819350E-1,-3.999999911E-2,9.693303108E-1,2.011189461E-1,9.907825603E-1
3.909786010E-1,-1.850108122E-10,8.798022270E-1,1.720857620E-1,8.964739082E-1
4.009562050E-1,3.851851821E-2,7.683639526E-1,7.618570328E-2,7.730919100E-1
4.109694870E-1,7.571428269E-2,6.481776237E-1,-7.308330536E-1,9.797876488E-1
4.209715180E-1,-4.280952364E-2,-9.038925171E-3,-1.455668449E0,1.456325854E0
4.309712570E-1,-2.718894277E-3,-5.337953568E-2,-1.439962864E0,1.440954481E0
4.409694350E-1,3.611607105E-2,-9.080505371E-2,-1.408079147E0,1.411466193E0
4.509772470E-1,7.380951941E-2,-1.175365448E-1,-1.367382526E0,1.374408112E0
4.609709970E-1,-8.365546167E-2,-1.256160736E-1,-1.314608574E0,1.323243491E0
4.709691740E-1,-4.240816087E-2,-1.368956566E-1,-1.204096317E0,1.212595074E0
4.809704760E-1,-2.341270214E-3,-1.461138725E-1,-5.161294937E-1,5.364181201E-1
4.909754240E-1,3.664092720E-2,-1.678872108E-1,-4.055633545E-1,4.404660119E-1
5.009764660E-1,7.462406158E-2,-2.050995827E-1,-3.102889061E-1,3.793597167E-1
5.109699550E-1,-8.318681270E-2,-2.601933479E-1,-2.425956726E-1,3.653399574E-1
5.209686530E-1,-4.210714251E-2,-3.065319061E-1,-1.937928200E-1,3.650896849E-1
5.309686530E-1,-1.781324506E0,-3.309636116E-1,-1.660060883E-1,1.819398782E0
5.409709970E-1,-1.880440950E0,-3.270740509E-1,-1.610207558E-1,1.915453807E0
5.509696430E-1,-2.851433516E0,-2.990021706E-1,-1.899147034E-1,2.873350481E0
5.609877160E-1,-2.893966198E0,-2.694950104E-1,-2.621169090E-1,2.918282575E0
5.709759970E-1,-3.539312601E0,-2.388262749E-1,-3.760466576E-1,3.567237414E0
5.809788100E-1,-3.510829449E0,-2.168283463E-1,-1.144484520E0,3.699024570E0
5.909710490E-1,-3.478552103E0,-2.023043633E-1,-1.171112061E0,3.675969974E0
6.009782890E-1,-3.452825069E0,-1.750025749E-1,-1.210555077E0,3.663068448E0
6.109738620E-1,-3.432888746E0,-1.031632423E-1,-1.251346588E0,3.655302461E0
6.209709970E-1,-3.427694082E0,5.179405212E-1,-1.288460732E0,3.698307743E0
6.309762050E-1,-3.435275793E0,6.200203896E-1,-1.341640949E0,3.739725323E0
6.409709970E-1,-4.092391968E0,1.344810963E0,-1.945096493E0,4.726477431E0
6.509751640E-1,-4.073704720E0,1.326128483E0,-1.928057432E0,4.697988118E0
6.609699550E-1,-4.054431915E0,1.302645683E0,-1.924066544E0,4.673043547E0
6.709741220E-1,-4.005900383E0,1.270298004E0,-1.945808411E0,4.631097631E0
6.809707370E-1,-3.908315420E0,1.235239029E0,-1.980054617E0,4.552072184E0
6.909749030E-1,-3.739888668E0,1.193119526E0,-2.025054693E0,4.417142511E0
7.009769870E-1,-2.830561161E0,1.145026207E0,-2.040708065E0,3.672553731E0
7.109717780E-1,-2.636672497E0,1.140141964E0,-2.021492720E0,3.512605638E0
7.209694350E-1,-1.763170719E0,1.206262112E0,-2.010955095E0,2.933901781E0
7.309662050E-1,-1.695620894E0,2.127254009E0,-2.065877438E0,3.415873157E0
7.409856850E-1,-1.653786778E0,2.847125530E0,-2.726844549E0,4.275139260E0
7.509759970E-1,-1.585913062E0,2.959648132E0,-2.794704914E0,4.368639704E0
7.609714140E-1,-1.490912914E0,4.050071239E0,-3.651972771E0,5.653565555E0
7.709697470E-1,-1.382374406E0,4.008403778E0,-3.754723310E0,5.663586053E0
7.809749030E-1,-1.276853919E0,3.968277931E0,-5.034817219E0,6.536587037E0
7.909696950E-1,-6.347565651E-1,3.929627419E0,-4.921363831E0,6.329668988E0
8.009790700E-1,-6.001703739E-1,3.793835640E0,-5.007720947E0,6.311153811E0
8.109720390E-1,-5.983935595E-1,3.759351730E0,-6.410699844E0,7.455727515E0
8.209756850E-1,-7.705616951E-1,3.746582985E0,-7.257219315E0,8.203528605E0
8.309722990E-1,-1.780231953E0,3.714986324E0,-7.272601128E0,8.358293866E0
8.409704760E-1,-1.887865901E0,3.585865021E0,-7.845203400E0,8.830044280E0
8.509754240E-1,-2.676167011E0,3.557786465E0,-7.805614471E0,8.985951907E0
8.609709970E-1,-2.702937365E0,3.530710697E0,-7.788854122E0,8.968725493E0
8.709702160E-1,-2.693025589E0,3.504597187E0,-7.777441978E0,8.945568288E0
8.809694350E-1,-2.617586136E0,3.479410648E0,-8.350994110E0,9.417916875E0
8.909709970E-1,-2.485677004E0,3.356379986E0,-8.297790527E0,9.289628863E0
9.009777680E-1,-1.737872839E0,3.334174633E0,-8.235172272E0,9.052899250E0
9.109682890E-1,-1.685649991E0,3.312765598E0,-8.213083267E0,9.015019055E0
9.209919870E-1,-1.657551765E0,3.292121410E0,-8.143798828E0,8.939071573E0
9.309695910E-1,-1.626134634E0,3.272216797E0,-8.058158875E0,8.847917329E0
9.409676120E-1,-1.582216144E0,3.154214382E0,-7.953758240E0,8.701422092E0
9.509661010E-1,-1.527564287E0,3.136870384E0,-7.833379745E0,8.575269482E0
9.609722990E-1,-1.449171305E0,3.120162964E0,-7.704289436E0,8.437510895E0
