"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,6.868791580E-2,1.096673012E-1,-5.658636093E-1,5.804709907E-1
0.000000000E0,1.162178516E-1,1.144826412E-1,-5.569095612E-1,5.803112298E-1
0.000000000E0,1.422908306E-1,1.079075336E-1,-5.687742233E-1,5.961500092E-1
0.000000000E0,1.853103638E-1,1.230921745E-1,-5.680465698E-1,6.100561612E-1
3.107510000E-3,2.546973228E-1,1.499333382E-1,-5.451993942E-1,6.201557156E-1
8.133031000E-3,2.978272438E-1,1.595549583E-1,-5.097513199E-1,6.115596946E-1
1.315855100E-2,2.909896374E-1,1.612777710E-1,-4.188947678E-1,5.349376739E-1
1.818349900E-2,2.912843227E-1,1.929373741E-1,-3.821287155E-1,5.177776958E-1
2.320844700E-2,2.841906548E-1,2.256855965E-1,-3.893880844E-1,5.322794351E-1
2.823339500E-2,3.029334545E-1,2.926986217E-1,-4.307479858E-1,6.024823552E-1
3.325839500E-2,2.903349400E-1,3.081085682E-1,-4.393949509E-1,6.101583319E-1
3.828344700E-2,2.941937447E-1,2.865414619E-1,-3.823356628E-1,5.611029566E-1
4.330855100E-2,2.623047829E-1,1.949095726E-1,-2.885751724E-1,4.359692314E-1
4.833370800E-2,1.949913502E-1,9.527492523E-2,-2.010488510E-1,2.958370810E-1
5.335896800E-2,1.064088345E-1,2.066683769E-2,-1.004877090E-1,1.478098031E-1
5.838433300E-2,-8.652925491E-3,3.895521164E-3,3.767967224E-3,1.021008236E-2
6.340980100E-2,-1.364195347E-1,-3.665089607E-2,2.259731293E-1,2.664909619E-1
6.843537400E-2,-2.727100849E-1,-1.015906334E-1,4.658584595E-1,5.492864020E-1
7.346099900E-2,-4.040251970E-1,-1.771209240E-1,6.524419785E-1,7.875841014E-1
7.848667600E-2,-5.122766495E-1,-2.399547100E-1,7.390384674E-1,9.306897898E-1
8.351240600E-2,-5.697401762E-1,-2.526128292E-1,7.314500809E-1,9.609559463E-1
8.853818700E-2,-5.251723528E-1,-2.301247120E-1,6.496543884E-1,8.664953593E-1
9.356396800E-2,-4.417068958E-1,-1.823301315E-1,5.655870438E-1,7.404309304E-1
9.858974900E-2,-3.909363747E-1,-1.474952698E-1,4.982452393E-1,6.502571969E-1
1.036155310E-1,-3.441350460E-1,-5.415296555E-2,3.049669266E-1,4.629970841E-1
1.086413120E-1,-3.583061695E-1,-2.103877068E-2,1.148586273E-1,3.768533471E-1
1.136669370E-1,-2.999484539E-1,6.221151352E-2,-1.672935486E-1,3.490365007E-1
1.186923530E-1,-2.312315702E-1,1.437695026E-1,-3.938093185E-1,4.787728985E-1
