"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.669333900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.668917300E-2,2.733588219E-2,-1.610946655E-2,6.251266003E-1,6.259313315E-1
1.066936000E-1,3.376293182E-2,-5.242919922E-2,4.434177279E-1,4.477812389E-1
1.167008910E-1,1.486206055E-2,-1.245136261E-1,2.125632912E-1,2.467948069E-1
1.266928180E-1,-5.281972885E-2,-1.208319664E0,2.020506263E-1,1.226234394E0
1.366943810E-1,-6.064062119E-1,-9.902658463E-1,2.017088532E-1,1.178576006E0
1.466925580E-1,-6.300821304E-1,-8.316564560E-1,2.071790099E-1,1.063757065E0
1.566925580E-1,-1.406242013E0,-7.101993561E-1,2.162816375E-1,1.590181584E0
1.666904750E-1,-2.264364719E0,-1.626990318E0,5.002813041E-2,2.788717966E0
1.766962040E-1,-1.985786200E0,-1.531503677E0,1.182073876E-1,2.510542438E0
1.868004750E-1,-1.783637404E0,-1.383489609E0,1.450234354E-1,2.261954395E0
1.966882870E-1,-1.609511375E0,-1.218344688E0,1.707908511E-1,2.025848011E0
2.066917250E-1,-1.643117785E0,-1.916332245E-1,1.002008468E-2,1.654285269E0
2.166725060E-1,-2.392987490E0,-1.601915359E-1,4.668541253E-2,2.398797612E0
2.266963600E-1,-1.305178165E0,-1.314287186E-1,8.126757294E-2,1.314293715E0
2.366832350E-1,-1.190755963E0,-1.048746109E-1,1.141341850E-1,1.200801841E0
2.466826620E-1,-1.086825013E0,-8.015918732E-2,1.455711722E-1,1.099456716E0
2.566857870E-1,-1.181202769E0,-1.517295837E-1,-1.366940886E-2,1.190986441E0
2.666839640E-1,-1.084142566E0,-1.251440048E-1,2.501405776E-2,1.091628063E0
2.766933390E-1,-9.944215417E-1,-1.001367569E-1,6.191815063E-2,1.001366781E0
2.866852660E-1,-9.110386968E-1,-7.649421692E-2,9.728550911E-2,9.194059726E-1
2.966800580E-1,-8.331674933E-1,-5.403709412E-2,1.313165724E-1,8.451817093E-1
3.066831830E-1,-9.517855048E-1,-1.284523010E-1,-2.748828381E-2,9.608076012E-1
3.166829230E-1,-8.753141165E-1,-1.072693825E0,1.201124489E-2,1.384554482E0
3.266855270E-1,-8.031866550E-1,-1.112764359E0,5.001081154E-2,1.373264141E0
3.366855270E-1,-7.349204421E-1,-1.166440010E0,8.667707443E-2,1.381377309E0
3.466795370E-1,-6.701018810E-1,-1.797378540E0,1.221528947E-1,1.922115365E0
3.566787560E-1,-8.014776707E-1,-1.786570549E0,-3.654202819E-2,1.958452477E0
3.668161520E-1,-7.360951304E-1,-1.824012756E0,3.342706710E-3,1.966944267E0
3.767024540E-1,-6.736404300E-1,-2.403095245E0,4.194455221E-2,2.496080434E0
3.867403180E-1,-6.138391495E-1,-2.409269810E0,7.938378304E-2,2.487505036E0
3.966855790E-1,-5.564501286E-1,-2.440745354E0,1.157660931E-1,2.506047968E0
4.066829230E-1,-6.953780055E-1,-3.086249828E0,-4.293290526E-2,3.163910841E0
4.166878700E-1,-6.366529465E-1,-3.061872959E0,-2.849109471E-3,3.127363284E0
4.266892250E-1,-5.800792575E-1,-3.042232990E0,3.611892089E-2,3.097253314E0
4.366842250E-1,-5.254824758E-1,-2.998196125E0,1.124079585E0,3.244821528E0
4.466837040E-1,-4.727066755E-1,-2.914518833E0,1.149116516E0,3.168334010E0
4.566873500E-1,-1.650354385E0,-2.741728306E0,1.840769529E0,3.691771412E0
4.666829230E-1,-1.700919032E0,-2.577868938E0,1.858952165E0,3.604751998E0
4.766899540E-1,-2.325499296E0,-1.784282684E0,1.903442860E0,3.494954419E0
4.866847450E-1,-2.382797956E0,-1.634397507E0,2.542223930E0,3.848621029E0
4.966839640E-1,-3.096799612E0,-7.481670380E-1,2.587034702E0,4.103982250E0
5.066837040E-1,-3.144599438E0,-5.748977661E-1,3.330568552E0,4.616459677E0
5.166790160E-1,-3.851585388E0,1.128114700E0,3.391821861E0,5.254693932E0
5.266863080E-1,-3.870842457E0,1.123685837E0,4.199525356E0,5.820833652E0
5.366816200E-1,-4.469393730E0,2.243264198E0,4.234349728E0,6.552666037E0
5.467927140E-1,-4.449160576E0,2.875890732E0,4.913557053E0,7.225567122E0
5.566815680E-1,-4.451157093E0,2.941672325E0,4.879545689E0,7.230228327E0
5.668330790E-1,-4.443518162E0,2.977492332E0,4.816068649E0,7.197557327E0
5.766765680E-1,-4.418153763E0,2.973207474E0,4.717957497E0,7.114714913E0
