"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.197714100E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.197766200E-2,1.999999955E-2,-2.409505844E-2,1.765727997E-3,3.136382660E-2
1.019787030E-1,3.999999911E-2,-3.763341904E-2,2.613210678E-2,6.082072970E-2
1.119771410E-1,5.999999866E-2,-4.945802689E-2,6.992006302E-2,1.045701271E-1
1.219760990E-1,7.999999821E-2,-5.545902252E-2,1.303758621E-1,1.627070014E-1
1.320083910E-1,-6.666666269E-2,-5.661296844E-2,1.887598038E-1,2.080378226E-1
1.419790680E-1,-2.285714261E-2,-4.947280884E-2,6.937437057E-1,6.958809791E-1
1.521203180E-1,1.499999966E-2,-4.413461685E-2,6.213364601E-1,6.230825475E-1
1.619758910E-1,4.888888821E-2,-4.870414734E-2,5.650196075E-1,5.692182132E-1
1.719792240E-1,7.999999821E-2,-6.105756760E-2,5.286178589E-1,5.381123182E-1
1.819810470E-1,-7.272727042E-2,-7.073020935E-2,5.117068291E-1,5.216664617E-1
1.919807870E-1,-3.000000119E-2,-6.477546692E-2,5.370178223E-1,5.417416383E-1
2.019831300E-1,9.230768308E-3,-2.803993225E-2,5.736975670E-1,5.744565634E-1
2.119839120E-1,4.571428522E-2,4.746723175E-2,1.140164852E0,1.142067784E0
2.219862550E-1,7.999999821E-2,6.522803307E-1,1.125515938E0,1.303324885E0
2.319787030E-1,-7.500000298E-2,7.150940895E-1,1.109102249E0,1.321776213E0
2.419865160E-1,-3.294117749E-2,1.340722084E0,1.091236115E0,1.728993084E0
2.519807870E-1,-1.629451513E0,1.366458893E0,1.039774895E0,2.367161585E0
2.619776620E-1,-1.636090755E0,1.983106613E0,9.605584145E-1,2.744481238E0
2.719794850E-1,-1.630700111E0,1.941778183E0,8.304529190E-1,2.668208653E0
2.819763600E-1,-1.610732675E0,1.886021137E0,6.768584251E-1,2.570928394E0
2.919797450E-1,-1.583423853E0,1.795022488E0,-1.361250877E-1,2.397470932E0
3.019768800E-1,-1.545445085E0,1.674815655E0,-1.840729713E-1,2.286326933E0
3.119862550E-1,-1.517513275E0,1.539860725E0,-2.001180649E-1,2.171189728E0
3.219765160E-1,-1.484062552E0,1.402303696E0,-1.799316406E-1,2.049700639E0
3.321282350E-1,-1.431995988E0,7.572827339E-1,-1.057281494E-1,1.623350883E0
3.419756300E-1,-1.336109400E0,6.562457085E-1,1.856279373E-2,1.488687790E0
3.519790160E-1,-1.236654282E0,5.404706001E-1,8.554592133E-1,1.597883834E0
3.619797450E-1,-1.134472847E0,4.361982346E-1,9.025278091E-1,1.513887046E0
3.719794850E-1,-9.596168399E-1,2.765603065E-1,9.803304672E-1,1.399427707E0
3.819774010E-1,-8.518853188E-1,2.014455795E-1,9.892792702E-1,1.320970247E0
3.919807870E-1,-7.437067628E-1,1.323637962E-1,9.939708710E-1,1.248438231E0
4.019828700E-1,-1.278104782E-1,6.855297089E-2,9.760541916E-1,9.867709020E-1
4.119841720E-1,-8.338683844E-2,-5.426716805E-1,9.056549072E-1,1.059082966E0
4.219792240E-1,8.143826127E-1,-6.040558815E-1,8.146510124E-1,1.300676293E0
4.319807870E-1,8.312911391E-1,-6.594562531E-1,7.158799171E-1,1.280004517E0
4.419800050E-1,8.483624458E-1,-7.001318932E-1,6.441631317E-1,1.274695904E0
4.519781820E-1,8.655839562E-1,-7.282104492E-1,5.956864357E-1,1.278424176E0
4.619792240E-1,8.829443455E-1,-7.550916672E-1,5.384612083E-1,1.280505609E0
4.719771410E-1,7.053115964E-1,-7.665777206E-1,4.547595978E-1,1.136623131E0
4.819792240E-1,7.275660634E-1,-7.984523773E-1,3.534131050E-1,1.136564736E0
4.919888600E-1,7.497156858E-1,-8.093934059E-1,-2.887339592E-1,1.140420359E0
5.019788070E-1,7.717676163E-1,-8.120388985E-1,-3.157410622E-1,1.163926477E0
5.119895890E-1,7.937282920E-1,-8.459920883E-1,-3.381128311E-1,1.208315978E0
5.219789120E-1,6.199516058E-1,-9.115166664E-1,-3.516907692E-1,1.157103722E0
5.319797450E-1,6.459100246E-1,-9.895911217E-1,-3.577270508E-1,1.234689836E0
5.419784430E-1,6.716202497E-1,-1.044691086E0,-3.621091843E-1,1.293667765E0
5.519815680E-1,6.970974207E-1,-1.089651108E0,-3.506612778E-1,1.340241651E0
5.619792240E-1,7.223554254E-1,-1.106646538E0,-3.160572052E-1,1.358806858E0
5.719839120E-1,5.513288975E-1,-1.114091396E0,-2.328014374E-1,1.264657939E0
5.819789640E-1,5.799571276E-1,-1.098930597E0,-1.704950333E-1,1.254219791E0
5.919781820E-1,6.477357149E-1,-1.070205927E0,-7.179021835E-2,1.253018802E0
6.019768800E-1,6.752313972E-1,-1.047647953E0,-7.693767548E-3,1.246420020E0
6.119800050E-1,5.060308576E-1,-1.045500278E0,5.222225189E-2,1.162697392E0
6.219836510E-1,5.364513397E-1,-1.056112528E0,1.084489822E-1,1.189501952E0
6.319776620E-1,5.665125251E-1,-1.043961048E0,1.517734528E-1,1.197424859E0
6.419802660E-1,5.962326527E-1,-9.881637096E-1,1.549983025E-1,1.164467847E0
6.519797450E-1,6.256287098E-1,-8.852787018E-1,1.719613075E-1,1.097588426E0
6.619781820E-1,4.579954743E-1,-1.489443779E-1,1.910753250E-1,5.181255273E-1
6.719792240E-1,4.899632633E-1,-5.494928360E-2,1.878833771E-1,5.276206843E-1
6.819887550E-1,5.215511322E-1,5.505609512E-2,1.510076523E-1,5.457564183E-1
6.919888070E-1,5.527769327E-1,7.073631287E-1,1.189842224E-1,9.055838881E-1
7.019766200E-1,5.836572647E-1,7.296752930E-1,9.119129181E-2,9.388278263E-1
7.119747970E-1,4.172382355E-1,7.380089760E-1,8.158206940E-2,8.517045426E-1
7.219818280E-1,4.504137635E-1,7.342982292E-1,8.766222000E-2,8.658816967E-1
7.319787030E-1,4.832018018E-1,7.347259521E-1,1.217627525E-1,8.877681983E-1
7.419781820E-1,5.156191587E-1,7.290678024E-1,1.848139763E-1,9.118986694E-1
7.519794850E-1,5.476817489E-1,7.471990585E-1,2.534074783E-1,9.604567045E-1
7.619800050E-1,3.822214603E-1,7.810063362E-1,3.218541145E-1,9.271753949E-1
