"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.052545430E-1,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.152449070E-1,1.999999955E-2,-4.184770584E-2,3.237800598E-1,3.270852452E-1
1.252475120E-1,-9.333332628E-2,-8.326196671E-2,2.316212654E-1,2.632338798E-1
1.352462090E-1,-3.999999911E-2,-1.243038177E-1,1.892375946E-1,2.299180425E-1
1.452454280E-1,-8.735485673E-1,-2.122588158E-1,1.144480705E-1,9.062225252E-1
1.552535010E-1,-8.299608231E-1,-2.172057629E-1,2.666902542E-2,8.583265976E-1
1.652540220E-1,-8.245065212E-1,-2.258515358E-1,-6.193113327E-2,8.571204029E-1
1.752396990E-1,-1.330195546E0,-2.282154560E-1,-1.308422089E-1,1.355958026E0
1.852541780E-1,-1.210041761E0,-2.517971992E-1,-1.716594696E-1,1.247826057E0
1.952598030E-1,-1.098029375E0,-3.189787865E-1,-1.769342422E-1,1.157031417E0
2.052433970E-1,-9.597837329E-1,-9.887299538E-1,-1.221494675E-1,1.383362652E0
2.152607930E-1,-7.949536443E-1,-1.009206295E0,-2.765893936E-2,1.284995587E0
2.252402200E-1,-4.622465372E-2,-1.641319990E0,6.008110046E-1,1.748439845E0
2.352516780E-1,9.318443537E-1,-1.652456284E0,6.855368614E-1,2.017153057E0
2.452532410E-1,9.111040831E-1,-2.338629723E0,1.434949398E0,2.891086198E0
2.552511570E-1,8.951567411E-1,-2.291481495E0,1.453566551E0,2.857454943E0
2.652524590E-1,6.943147182E-1,-3.254425526E0,3.087234974E0,4.539204579E0
2.752514180E-1,-2.368262410E-1,-3.045245171E0,2.943696022E0,4.242045625E0
2.852389180E-1,-8.428569436E-1,-2.854982853E0,2.815511703E0,4.097370019E0
2.952376160E-1,-8.978028893E-1,-2.680936098E0,2.700486660E0,3.909743801E0
3.052394390E-1,-1.502070308E0,-2.520893574E0,2.596828461E0,3.918499416E0
3.152347510E-1,-1.509909391E0,-2.564332724E0,2.407401085E0,3.827689730E0
3.252254280E-1,-1.478210211E0,-2.419152260E0,2.326258659E0,3.667271797E0
3.352373550E-1,-1.446441412E0,-2.283986092E0,3.840835094E0,4.696892531E0
3.452357930E-1,-1.391200781E0,-2.157679081E0,3.712424278E0,4.513658455E0
3.552559490E-1,-1.306948423E0,-2.039246559E0,3.568230629E0,4.312645422E0
3.652541780E-1,-1.179558754E0,-2.120701790E0,3.416004181E0,4.190205186E0
3.752261050E-1,-5.324398279E-1,-2.008953571E0,3.281229019E0,3.884050785E0
3.852363660E-1,-4.249411821E-1,-1.903321743E0,3.133265495E0,3.690604467E0
3.952404800E-1,1.899445057E-1,-1.803214669E0,2.950912476E0,3.463458748E0
4.052399590E-1,2.635263205E-1,-1.708114147E0,1.443800926E0,2.252034897E0
4.152383970E-1,1.192591310E0,-1.811504722E0,1.322473526E0,2.540228260E0
4.252391780E-1,1.196338654E0,-1.719401598E0,1.302989006E0,2.466849890E0
4.352404800E-1,1.240884781E0,-1.593862772E0,1.305684090E0,2.405203633E0
4.452399590E-1,1.246266365E0,-1.511866450E0,1.289855003E0,2.345771930E0
4.552383970E-1,1.057680368E0,-1.627870083E0,1.178016663E0,2.270764635E0
4.652383970E-1,1.069534779E0,-1.547155380E0,1.167297363E0,2.213634466E0
4.752410010E-1,1.081796408E0,-2.717451572E0,-1.504764557E-1,2.928731753E0
4.852420430E-1,1.094435453E0,-2.761960983E0,-3.026638031E-1,2.986272394E0
4.952407410E-1,1.107425213E0,-3.480351448E0,-1.420028210E0,3.918637125E0
5.052376160E-1,9.253920913E-1,-3.427142620E0,-2.098897934E0,4.123958002E0
5.152404800E-1,9.434513450E-1,-3.344762802E0,-2.149819851E0,4.086473300E0
5.252386570E-1,9.615969062E-1,-3.199346542E0,-2.164402008E0,3.980593293E0
5.353113660E-1,9.798230529E-1,-2.435675144E0,-2.109547138E0,3.367900793E0
5.452342820E-1,9.981246591E-1,-2.230738640E0,-1.976206303E0,3.142902968E0
5.552640740E-1,8.206637502E-1,-1.007391095E0,-1.278843403E0,1.823119924E0
5.652376680E-1,8.430991173E-1,-9.476484060E-1,-1.132384777E0,1.700337880E0
5.752389180E-1,8.654371500E-1,4.565783739E-1,-3.730673790E-1,1.047198425E0
5.852364180E-1,8.876835108E-1,6.027066112E-1,-3.188033104E-1,1.119318018E0
5.952391780E-1,9.098433852E-1,1.482295990E0,-2.811994553E-1,1.761842649E0
6.052386570E-1,7.356954217E-1,1.531634450E0,-2.627849579E-1,1.719362607E0
6.152378760E-1,7.613306642E-1,1.595013499E0,-2.897801399E-1,1.790995526E0
6.252368340E-1,-9.231501818E-1,2.299250126E0,-1.048500538E0,2.690373724E0
6.352368340E-1,-1.011322737E0,2.358505249E0,-1.121550560E0,2.800570718E0
6.452404800E-1,-1.747313261E0,2.934408903E0,-1.216001511E0,3.625261220E0
6.552386570E-1,-1.811324596E0,2.904420853E0,-1.852418423E0,3.892044616E0
6.652378760E-1,-1.858258843E0,2.868474007E0,-1.660521030E0,3.799815673E0
6.752404800E-1,-1.851867318E0,2.808228254E0,-4.998240471E-1,3.400791462E0
6.852402200E-1,-1.799625635E0,2.732054710E0,-3.380546570E-1,3.288929357E0
6.952394390E-1,-1.708026171E0,2.632693768E0,5.712375641E-1,3.189787176E0
7.052386570E-1,-1.577876806E0,2.503915548E0,5.983438492E-1,3.019487316E0
7.153523550E-1,-7.454417944E-1,1.837831974E0,5.820302963E-1,2.066898425E0
7.252385010E-1,-6.189968586E-1,1.729588628E0,5.669898987E-1,1.922527367E0
7.352670950E-1,1.126616478E0,1.609246492E0,5.434169769E-1,2.038195519E0
7.452228760E-1,9.524014592E-1,9.751724005E-1,-4.107966423E-1,1.423651513E0
7.552380320E-1,9.780188203E-1,9.497743845E-1,-1.164237976E0,1.792775016E0
7.652363140E-1,1.003475666E0,9.408547878E-1,-1.271565437E0,1.873245794E0
7.752425640E-1,1.028778791E0,9.413452148E-1,-1.333121300E0,1.929178326E0
7.852417820E-1,1.053934693E0,9.693244696E-1,-1.292233467E0,1.928791227E0
7.952410010E-1,8.816890121E-1,1.016168475E0,-1.143661499E0,1.765767682E0
8.052407410E-1,9.488664865E-1,1.865429759E0,8.781433105E-3,2.092905375E0
8.152360530E-1,9.758551121E-1,1.838905454E0,1.734368324E0,2.709594057E0
8.252381370E-1,1.002662182E0,1.735815763E0,1.731584549E0,2.648919188E0
8.352378760E-1,8.318588138E-1,1.044760585E0,1.630410194E0,2.107546243E0
8.452376160E-1,1.892810583E0,9.150359631E-1,1.629518509E0,2.659953625E0
