"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.435643673E-2,-1.363070250E0,2.861662865E0,3.170584132E0
0.000000000E0,-2.920366526E-1,-1.452725530E0,2.336422920E0,2.766689165E0
0.000000000E0,-5.826064348E-1,-1.487764955E0,2.103369713E0,2.641408519E0
2.584915000E-3,-8.629224300E-1,-1.559451342E0,2.415453911E0,3.001822980E0
7.610748000E-3,-9.015712738E-1,-1.538907051E0,2.501820564E0,3.072486259E0
1.263658100E-2,-8.316685557E-1,-1.416831136E0,2.558735847E0,3.040758489E0
1.766152900E-2,-7.003806829E-1,-1.265115499E0,2.571826935E0,2.950482013E0
2.268647700E-2,-5.601111650E-1,-1.088724256E0,2.502964020E0,2.786372894E0
2.771147700E-2,-4.732501507E-1,-9.544479847E-1,2.347517967E0,2.577940509E0
3.273652900E-2,-4.111015797E-1,-8.477375507E-1,2.182167053E0,2.376871160E0
3.776168500E-2,-3.067157269E-1,-7.686433792E-1,1.997481346E0,2.162132954E0
4.278694600E-2,-2.512073517E-1,-6.884372234E-1,1.697956085E0,1.849352809E0
4.781236200E-2,-4.073099494E-1,-6.687450409E-1,1.058917999E0,1.316977089E0
5.283793500E-2,-2.583093047E-1,-6.425366402E-1,1.190423965E0,1.377202327E0
5.786366500E-2,-1.730247140E-1,-7.206861973E-1,1.307567596E0,1.503016688E0
6.288955000E-2,-3.824216127E-1,-8.317975998E-1,1.056839943E0,1.398228952E0
6.791559200E-2,-6.776970625E-1,-8.944755793E-1,6.254320145E-1,1.284727627E0
7.294179000E-2,-9.270408154E-1,-8.798955679E-1,1.619567871E-1,1.288352003E0
7.796809200E-2,-1.070077777E0,-8.697057962E-1,-1.373176575E-1,1.385752777E0
8.299449800E-2,-1.084057450E0,-8.169573545E-1,-2.532606125E-1,1.380847860E0
8.802095600E-2,-1.070105195E0,-8.279658556E-1,-3.150463104E-1,1.389210842E0
9.304746700E-2,-1.119363546E0,-8.606333733E-1,-3.847780228E-1,1.463461198E0
9.807397700E-2,-1.179190755E0,-8.726134300E-1,-4.910993576E-1,1.546972402E0
1.031004870E-1,-1.211413026E0,-8.643928766E-1,-6.578941345E-1,1.627120542E0
1.081264770E-1,-1.220891833E0,-8.411551714E-1,-8.277282715E-1,1.698014423E0
1.131523100E-1,-1.188457489E0,-8.130174875E-1,-1.000585556E0,1.753453761E0
1.181781440E-1,-1.099785328E0,-7.945085764E-1,-1.186081886E0,1.802099300E0
1.232039770E-1,-1.016782403E0,-7.715510130E-1,-1.403355598E0,1.896982962E0
1.282298100E-1,-9.677737951E-1,-7.009193897E-1,-1.652481079E0,2.039256685E0
1.332556440E-1,-9.140160084E-1,-6.207355261E-1,-1.938293457E0,2.231080317E0
1.382814770E-1,-8.597024679E-1,-5.209885836E-1,-2.193940163E0,2.413273891E0
1.433073100E-1,-7.564308643E-1,-4.155418873E-1,-2.424380779E0,2.573418908E0
1.483331440E-1,-6.512060165E-1,-3.180900812E-1,-2.730252743E0,2.824806297E0
1.533589770E-1,-5.336853266E-1,-2.229697704E-1,-3.111679077E0,3.164977445E0
1.583848100E-1,-4.224815667E-1,-1.435084343E-1,-3.444470882E0,3.473249920E0
1.634106440E-1,-3.887766004E-1,-5.485653877E-2,-3.705000401E0,3.725746161E0
1.684364770E-1,-3.599629402E-1,2.928423882E-2,-3.907884598E0,3.924537287E0
1.734623100E-1,-3.162557185E-1,1.046488285E-1,-3.962474823E0,3.976452663E0
1.784881440E-1,-2.860156894E-1,1.665084362E-1,-3.926368713E0,3.940292033E0
1.835139770E-1,-2.739720643E-1,2.244963646E-1,-3.871434212E0,3.887603653E0
1.885398100E-1,-2.704146504E-1,2.545409203E-1,-3.826357841E0,3.844337328E0
1.935656440E-1,-2.846327126E-1,2.949836254E-1,-3.829409599E0,3.851286668E0
1.985914770E-1,-3.066978753E-1,3.362474442E-1,-3.818371773E0,3.845398409E0
2.036173100E-1,-2.885762751E-1,3.783731461E-1,-3.783714294E0,3.813520207E0
2.086431440E-1,-2.686557174E-1,4.116380215E-1,-3.677600384E0,3.710305424E0
2.136689770E-1,-3.139828146E-1,4.453618526E-1,-3.547876835E0,3.589479408E0
2.186948100E-1,-3.914433420E-1,4.601142406E-1,-3.504477978E0,3.556163509E0
2.237206440E-1,-4.394215643E-1,4.655385017E-1,-3.528161526E0,3.585769256E0
2.287464770E-1,-4.012871385E-1,4.857616425E-1,-3.528005123E0,3.583826989E0
2.337723100E-1,-3.589925170E-1,5.544931889E-1,-3.451480389E0,3.514122251E0
2.387981440E-1,-3.124661446E-1,6.238498688E-1,-3.356079578E0,3.427840995E0
2.438239770E-1,-1.610796303E-1,6.700139046E-1,-3.203595638E0,3.276872029E0
2.488498100E-1,3.803922236E-2,7.071049213E-1,-2.917527199E0,3.002234053E0
2.538756440E-1,1.513276249E-1,7.539563179E-1,-2.569712162E0,2.682306987E0
2.589014770E-1,1.886597276E-1,7.523596287E-1,-2.250892162E0,2.380788321E0
2.639273100E-1,2.073677331E-1,6.873769760E-1,-2.023035049E0,2.146662362E0
2.689531440E-1,2.790217400E-1,6.017265320E-1,-1.833312988E0,1.949606233E0
2.739789770E-1,3.169419467E-1,5.190467834E-1,-1.695935249E0,1.801682028E0
2.790048100E-1,2.964766622E-1,4.535334110E-1,-1.491222382E0,1.586611218E0
2.840306440E-1,1.878697276E-1,3.904728889E-1,-1.310012817E0,1.379817993E0
2.890564770E-1,6.260183454E-2,3.346011639E-1,-1.171387672E0,1.219846715E0
2.940823100E-1,1.309307218E-1,2.953281403E-1,-1.027418137E0,1.077009560E0
2.991081440E-1,2.203130573E-1,3.106875420E-1,-8.493490219E-1,9.308374471E-1
