"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.027953700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.003058390E-1,-4.145026207E-2,3.669643402E-2,-3.831756115E-2,6.732746830E-2
1.102746420E-1,-4.388115406E-1,9.017086029E-2,-1.034988642E0,1.127780050E0
1.202805790E-1,-3.955998421E-1,8.040170670E-1,-8.962414861E-1,1.267356098E0
1.302782350E-1,-3.863878250E-1,6.592130661E-1,-6.849932075E-1,1.026193506E0
1.402795370E-1,-8.559745550E-1,5.660114288E-1,-5.374943018E-1,1.158430620E0
1.502764120E-1,-7.978572845E-1,5.022954941E-1,-4.264236987E-1,1.034753198E0
1.602758920E-1,-8.140152693E-1,3.931522369E-1,-4.857099652E-1,1.026208415E0
1.702837040E-1,-7.473931313E-1,3.718366623E-1,-4.011389613E-1,9.261595232E-1
1.802944850E-1,-6.523714066E-1,-8.329429626E-1,-3.283081651E-1,1.107776459E0
1.902964640E-1,-5.201519728E-1,-7.910909653E-1,-2.642824948E-1,9.829690876E-1
2.003529230E-1,-3.707835674E-1,-7.545223236E-1,-2.070299834E-1,8.658208849E-1
2.102736000E-1,4.273574352E-1,-7.311143875E-1,-3.408135772E-1,9.128617198E-1
2.202777140E-1,4.719276428E-1,-7.137641907E-1,-2.807593346E-1,9.005558416E-1
2.302761520E-1,5.342414379E-1,-7.105417252E-1,-2.257118672E-1,9.171855342E-1
2.402811000E-1,1.092796326E0,-7.004842758E-1,-1.747876406E-1,1.309745299E0
2.502769330E-1,1.076076984E0,-6.894369125E-1,-1.272994280E-1,1.284316969E0
2.602777140E-1,1.071996450E0,-6.729631424E-1,-2.721784115E-1,1.294657047E0
2.702881310E-1,1.078492165E0,-6.660203934E-1,-2.205694914E-1,1.286615488E0
2.802774540E-1,1.089195251E0,-6.624031067E-1,-1.719709337E-1,1.286350720E0
2.902795370E-1,1.098795176E0,-6.194715500E-1,-1.259722412E-1,1.267661171E0
3.002790170E-1,1.102848768E0,-5.531396866E-1,-8.223432302E-2,1.236527963E0
3.102771940E-1,1.107033014E0,-4.767475128E-1,-2.321412265E-1,1.227477020E0
3.202813600E-1,1.101987600E0,-3.873710632E-1,8.293884397E-1,1.432591427E0
3.302787560E-1,1.075120926E0,-2.919864655E-1,8.166446686E-1,1.381321692E0
3.402769330E-1,1.030002594E0,-1.917457581E-1,7.937362194E-1,1.314415827E0
3.502784960E-1,9.601893425E-1,1.065513611E0,7.623562813E-1,1.624336766E0
3.602963600E-1,8.649859428E-1,9.515304565E-1,7.002542019E-1,1.464229094E0
3.702892250E-1,7.390751839E-1,9.391460419E-1,-3.316997290E-1,1.240262926E0
3.802928190E-1,-1.490855217E-2,9.282064438E-1,-2.822900712E-1,9.702974552E-1
3.902746420E-1,-1.175165176E-1,9.185743332E-1,-2.347185016E-1,9.553437667E-1
4.002808390E-1,-8.962364197E-1,9.101333618E-1,-1.888179332E-1,1.291214416E0
4.102813600E-1,-9.671186209E-1,8.057174683E-1,-3.385585546E-1,1.303503341E0
4.202839640E-1,-1.038944483E0,8.021249771E-1,-2.900283039E-1,1.344219675E0
4.302805790E-1,-1.599913359E0,7.992887497E-1,-2.430830747E-1,1.804902945E0
4.402740690E-1,-1.560504198E0,7.971448898E-1,-1.975943446E-1,1.763421916E0
4.502797980E-1,-1.449109435E0,7.182445526E-1,-3.094508946E-1,1.646679461E0
4.602764120E-1,-1.329504251E0,7.197875977E-1,-1.199491382E0,1.929884793E0
4.702857870E-1,-6.642470360E-1,7.217445374E-1,-1.792352915E0,2.043200498E0
4.802764120E-1,-5.779120922E-1,7.240839005E-1,-1.779863715E0,2.006537995E0
4.902758920E-1,-4.931490421E-1,7.267799377E-1,-1.779274702E0,1.984243816E0
5.002774540E-1,-4.147050381E-1,6.320800781E-1,-1.788941979E0,1.942117118E0
5.102769330E-1,-3.466274738E-1,6.375885010E-1,-1.797849417E0,1.938796593E0
5.202826620E-1,-2.971611023E-1,6.432933807E-1,-1.806165099E0,1.940196758E0
5.302792770E-1,-2.637345791E-1,6.491804123E-1,-1.814031601E0,1.944659812E0
5.403478190E-1,-2.441208363E-1,6.552400589E-1,-1.807158828E0,1.937719677E0
5.502769850E-1,-2.171676159E-1,5.635004044E-1,-1.816567659E0,1.914317774E0
5.602989120E-1,-1.839756966E-1,5.718297958E-1,-1.844795704E0,1.940130810E0
5.702947980E-1,-1.262574196E-1,5.802259445E-1,-1.869945168E0,1.961962797E0
5.802764640E-1,-4.278278351E-2,5.886821747E-1,-1.902096629E0,1.991569395E0
5.902782350E-1,5.303311348E-2,5.971984863E-1,-1.916201472E0,2.007806421E0
6.002777140E-1,7.339453697E-1,5.076208115E-1,-1.914845705E0,2.112578701E0
6.102805790E-1,7.859601974E-1,5.180273056E-1,-1.905086994E0,2.124956982E0
6.202844850E-1,8.628616333E-1,5.284204483E-1,-1.897817969E0,2.150690915E0
6.302761520E-1,1.486757517E0,5.586204529E-1,-1.825843334E0,2.419960455E0
6.402771940E-1,1.480622053E0,4.705085754E-1,-1.736422896E0,2.329975206E0
6.502779750E-1,1.453333855E0,4.823331833E-1,-1.646654844E0,2.248621082E0
6.602777140E-1,1.417572498E0,4.940986633E-1,-1.580898046E0,2.180110986E0
6.702834440E-1,1.369780779E0,5.058059692E-1,-1.531126976E0,2.115771462E0
6.802764120E-1,1.297252655E0,5.174598694E-1,-1.485579491E0,2.039013387E0
6.902761520E-1,1.218046427E0,4.306249619E-1,-1.438944578E0,1.933813966E0
7.002779750E-1,1.133233786E0,4.436922073E-1,-1.410798788E0,1.863178684E0
7.102764120E-1,1.043740988E0,4.566669464E-1,-1.398659468E0,1.803936877E0
7.204144850E-1,9.455349445E-1,4.695520401E-1,-1.385867596E0,1.742166594E0
7.302767770E-1,8.448131084E-1,4.823532104E-1,-1.362894297E0,1.674471460E0
7.402879230E-1,2.496316433E-1,3.965225220E-1,-1.316698670E0,1.397584150E0
7.502628710E-1,2.187716961E-1,4.105720520E-1,-1.265074134E0,1.347903197E0
7.602751620E-1,1.966404915E-1,4.245080948E-1,-1.213700771E0,1.300747542E0
7.702811520E-1,1.723995209E-1,4.383335114E-1,-1.148125648E0,1.240987658E0
7.802805790E-1,1.463742256E-1,4.520549774E-1,-1.075245261E0,1.175555821E0
7.902777140E-1,1.285262108E-1,3.670272827E-1,-9.816590548E-1,1.055879971E0
8.002774540E-1,1.226048470E-1,3.818664551E-1,-8.800215721E-1,9.671049092E-1
8.102792770E-1,1.231861115E-1,4.163875580E-1,-1.967490315E-1,4.767217196E-1
8.202844850E-1,1.128084660E-1,4.307937622E-1,8.809879422E-1,9.871417172E-1
8.302811000E-1,9.399294853E-2,3.463535309E-1,7.118615508E-1,7.972090756E-1
8.402790170E-1,5.822324753E-2,3.617734909E-1,7.424632311E-1,8.279623511E-1
8.502758920E-1,1.269316673E-2,3.770608902E-1,7.728031874E-1,8.599772077E-1
8.602790170E-1,-6.544637680E-2,3.922185898E-1,8.028909564E-1,8.959645854E-1
8.702818810E-1,-1.474452019E-1,4.072523117E-1,8.327355981E-1,9.386389664E-1
8.802735480E-1,-2.326822281E-1,3.233566284E-1,6.647268534E-1,7.749595589E-1
8.902777140E-1,-3.109219074E-1,3.393163681E-1,6.964359283E-1,8.347640580E-1
9.002766730E-1,-8.877487183E-1,3.551387787E-1,7.278727293E-1,1.201673853E0
9.102976620E-1,-8.904025555E-1,3.708267212E-1,7.590466142E-1,1.227387848E0
9.202980790E-1,-8.721357584E-1,3.863859177E-1,7.899665236E-1,1.238532182E0
9.302862560E-1,-8.552056551E-1,3.029432297E-1,6.228882670E-1,1.100518562E0
9.402784960E-1,-8.103542328E-1,1.770733833E0,6.555228233E-1,2.054721992E0
9.502756310E-1,-7.462549210E-1,1.895170212E0,6.878797412E-1,2.149824429E0
9.602813600E-1,-6.655795574E-1,2.943519592E0,7.199680209E-1,3.102524406E0
9.702837040E-1,-5.803623199E-1,3.069181442E0,7.517963052E-1,3.212770274E0
9.802774540E-1,3.458547592E-2,4.075576782E0,5.855006576E-1,4.117563999E0
9.902800580E-1,1.476695538E-1,4.248588562E0,2.075077057E0,4.730566125E0
1.000278496E0,2.212839127E-1,4.796381950E0,2.089994907E0,5.236632992E0
1.010279017E0,3.187685013E-1,4.717455864E0,2.090731621E0,5.169831902E0
1.020285006E0,1.135963440E0,4.604716301E0,2.074351311E0,5.176558558E0
1.030277714E0,1.259897709E0,4.467712402E0,2.033469677E0,5.067819578E0
1.040276673E0,2.312549829E0,3.791996956E0,1.976284266E0,4.861360625E0
1.050278756E0,2.988708258E0,3.676434517E0,1.851617575E0,5.086947557E0
1.060276412E0,3.620072126E0,3.523563385E0,5.946999788E-1,5.086657959E0
1.070286829E0,3.706689119E0,2.689461708E0,4.305201769E-1,4.599793053E0
1.080293652E0,4.317444801E0,2.573869705E0,4.660390317E-1,5.048002303E0
1.090284954E0,4.307076454E0,1.866393089E0,5.012650490E-1,4.720762374E0
1.100290735E0,4.230211258E0,1.700088501E0,5.362064838E-1,4.590479887E0
1.110272610E0,4.052072525E0,-1.946935654E-1,5.708712339E-1,4.096717137E0
1.120287923E0,2.798377275E0,-2.721729279E-1,4.071018100E-1,2.840902209E0
1.130289173E0,1.825277090E0,-2.498807907E-1,4.430372417E-1,1.894824230E0
1.140284225E0,7.904489040E-1,-2.278089523E-1,4.786855578E-1,9.517595557E-1
1.150286048E0,-9.536480904E-2,-1.280959129E0,1.795170188E0,2.207393654E0
1.160291777E0,-8.451354504E-1,-2.162374496E0,1.881371498E0,2.988256366E0
1.170286569E0,-1.896889210E0,-3.078680038E0,2.646651268E0,4.481207693E0
1.180288912E0,-1.944124103E0,-3.160817146E0,2.712743282E0,4.596668323E0
1.190290475E0,-1.958830595E0,-3.891249180E0,2.752765656E0,5.153305370E0
1.200287610E0,-1.925860524E0,-3.955979347E0,2.740969181E0,5.183784660E0
1.210287871E0,-1.856434584E0,-4.027694225E0,2.693974018E0,5.189042893E0
1.220281360E0,-1.774913788E0,-4.689551353E0,2.640825987E0,5.667113264E0
1.230287350E0,-1.697581410E0,-4.689770222E0,2.582407475E0,5.616454018E0
1.240288392E0,-1.643429637E0,-4.700032711E0,2.495158434E0,5.569289368E0
1.250294902E0,-1.624054909E0,-4.723903656E0,2.392717123E0,5.538764784E0
1.260325892E0,-1.664091825E0,-4.779064178E0,2.306396484E0,5.561305671E0
1.270275631E0,-1.750808239E0,-5.493424892E0,2.273095131E0,6.197580819E0
1.280287662E0,-2.981487513E0,-5.559031010E0,2.319932222E0,6.721173935E0
1.290267819E0,-2.918326139E0,-6.411765099E0,2.955311537E0,7.639451905E0
1.300292610E0,-2.855839252E0,-6.520402908E0,3.082521439E0,7.757152206E0
1.310280319E0,-2.992460489E0,-7.536159515E0,4.082765102E0,9.078407950E0
1.320281881E0,-2.929749250E0,-7.610372543E0,4.171698093E0,9.159927178E0
1.330277975E0,-2.867690086E0,-9.265920639E0,4.819476604E0,1.083089500E1
1.340279798E0,-2.806268215E0,-9.156027794E0,4.813053608E0,1.071790424E1
1.350289954E0,-1.400163174E0,-9.206803322E0,4.742508888E0,1.045069734E1
1.360278235E0,-1.329396605E0,-8.057397842E0,4.655255795E0,9.400019247E0
1.370277454E0,-1.271642804E0,-7.368031502E0,4.570546150E0,8.763267413E0
1.380279537E0,-1.215506911E0,-7.234621525E0,4.493012428E0,8.602579052E0
1.390278756E0,-1.160829306E0,-7.083296299E0,4.431541920E0,8.435589779E0
1.400283183E0,-1.097728014E0,-6.439113617E0,4.398714066E0,7.875015962E0
1.410278235E0,-1.017623782E0,-6.370987415E0,4.400563240E0,7.809609186E0
1.420276412E0,-9.179462194E-1,-6.291822433E0,4.437434196E0,7.753739552E0
1.430277714E0,-2.988178730E-1,-6.203165531E0,4.480371952E0,7.657825250E0
1.440291256E0,-2.875323296E-1,-6.096621513E0,4.499343395E0,7.582582654E0
1.450279642E0,-2.921044827E-1,-5.989267349E0,4.497498989E0,7.495608419E0
1.460266829E0,-3.250708580E-1,-5.871582031E0,4.472721100E0,7.388259650E0
1.470264850E0,-3.778154850E-1,-5.745039940E0,4.437800407E0,7.269271002E0
1.480275944E0,-4.379651546E-1,-5.077070236E0,4.413606644E0,6.741541312E0
1.490280839E0,-4.850153923E-1,-4.919146538E0,4.501105309E0,6.685296672E0
1.500285787E0,-4.183142185E-1,-3.429848671E0,6.355799198E0,7.234295552E0
1.510280839E0,8.211426735E-1,-1.499749184E0,9.196595192E0,9.354190827E0
1.520277454E0,3.012099266E0,1.332045555E0,9.155558586E0,9.729919854E0
1.530276673E0,7.011300087E0,5.336586952E0,7.990144253E0,1.189453212E1
1.540278496E0,8.344029427E0,6.678668976E0,7.960716724E0,1.332668215E1
1.550286829E0,8.431146622E0,6.773559570E0,7.992373466E0,1.344780191E1
1.560275371E0,8.446817398E0,6.631525040E0,7.891920090E0,1.332697457E1
1.570277454E0,8.298030853E0,4.717777252E0,6.320814610E0,1.144846870E1
1.580275892E0,6.751326561E0,1.168829918E0,4.334031105E0,8.107428651E0
1.590274589E0,4.380421638E0,-1.307209492E0,3.411346197E0,5.703873531E0
1.600281881E0,1.797738075E0,-4.110668659E0,4.112360954E0,6.086129446E0
1.610277714E0,-5.668497086E-2,-6.095563889E0,4.230743885E0,7.420128444E0
