"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.675631200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.675761400E-2,1.999999955E-2,-1.655292511E-2,-2.634263039E-2,3.698558486E-2
1.067594370E-1,3.999999911E-2,-1.726388931E-2,-1.231789589E-2,4.527441178E-2
1.167651660E-1,5.999999866E-2,-6.823539734E-4,4.743599892E-2,7.648947273E-2
1.267531870E-1,-7.999999821E-2,1.129455566E-1,1.222429276E-1,1.846619393E-1
1.367508430E-1,-3.333333135E-2,2.162791729E0,1.746113300E-1,2.170084858E0
1.467477180E-1,5.714286584E-3,1.870964527E0,1.772892475E-1,1.879354249E0
1.567435520E-1,1.432509303E0,3.489987373E0,1.454596519E-1,3.775348101E0
1.667542290E-1,1.388520241E0,4.385829926E0,1.817548275E-1,4.603968659E0
1.767458960E-1,1.951229095E0,6.514854431E0,1.028295517E0,6.878082212E0
1.867492810E-1,1.787734151E0,6.834468842E0,9.666018486E-1,7.130236804E0
1.967566770E-1,1.563386917E0,6.426365852E0,8.952783346E-1,6.674120168E0
2.067451660E-1,4.312018752E-1,5.920543671E0,8.431084156E-1,5.995798880E0
2.167693330E-1,-9.086846709E-1,4.775443077E0,8.796801567E-1,4.940081132E0
2.267518850E-1,-8.143919110E-1,3.731828690E0,1.993309975E0,4.308487462E0
2.367524060E-1,-7.288393974E-1,2.787354469E0,1.913703442E0,3.458729921E0
2.467487600E-1,-6.505705118E-1,1.768360138E0,1.845164299E0,2.637227874E0
2.567477180E-1,-5.784352422E-1,9.258337021E-1,1.785945177E0,2.093168782E0
2.667513640E-1,-7.015134692E-1,7.576360703E-1,1.544647813E0,1.857974819E0
2.767485000E-1,-6.300128698E-1,-2.032470703E-2,5.593597889E-1,8.427411722E-1
2.867487600E-1,-5.631940961E-1,-8.514499664E-2,4.842025042E-1,7.475890083E-1
2.967482390E-1,-5.004464984E-1,-1.437807083E-1,4.617785215E-1,6.959590453E-1
3.067469370E-1,-4.412612915E-1,-2.488574982E-1,4.789474010E-1,6.971600926E-1
3.167550100E-1,-5.772108436E-1,-1.111828804E0,1.393736601E0,1.873989690E0
3.267485000E-1,5.186955929E-1,-1.170498848E0,1.378592968E0,1.881390773E0
3.367487600E-1,5.730256438E-1,-1.234929085E0,1.366052508E0,1.928602522E0
3.467469370E-1,6.028050780E-1,-2.136815071E0,1.355836272E0,2.601469701E0
3.567500620E-1,6.165654063E-1,-2.043821335E0,1.347704053E0,2.524611804E0
3.667678230E-1,6.594744325E-1,-2.053027153E0,1.148113847E0,2.442947487E0
3.769210520E-1,6.937914491E-1,-1.967446327E0,1.149787664E0,2.382058626E0
3.867368850E-1,7.160500288E-1,-1.886588097E0,1.152606726E0,2.323885659E0
3.967451660E-1,7.233217359E-1,-1.810025215E0,1.156467080E0,2.266451350E0
4.067446460E-1,6.988498569E-1,-1.737377167E0,1.161276937E0,2.203505086E0
4.167557910E-1,6.474876404E-1,-1.765452385E0,9.726689458E-1,2.117108227E0
4.267492810E-1,5.781604648E-1,-1.696968079E0,9.845392108E-1,2.045308691E0
4.367521460E-1,4.698425531E-1,-1.631644249E0,9.968490005E-1,1.968939539E0
4.467529270E-1,-6.486353278E-1,-1.550832748E0,1.049237490E0,1.981592620E0
4.567477180E-1,-7.884194255E-1,-1.590062141E0,8.670065999E-1,1.975247642E0
4.667578750E-1,-7.301653028E-1,-1.531768799E0,8.848844767E-1,1.913760058E0
4.767464160E-1,-6.737327576E-1,-1.475773811E0,9.028634429E-1,1.856606196E0
4.867498020E-1,-6.189947724E-1,-1.421918869E0,9.209364057E-1,1.803643995E0
4.967479790E-1,-5.658358335E-1,-1.370056152E0,9.390969276E-1,1.754744167E0
5.067482390E-1,-7.097061276E-1,-1.417832375E0,7.617837191E-1,1.759046863E0
5.167534480E-1,-6.551473141E-1,-1.367444992E0,7.843536139E-1,1.707142174E0
5.267485000E-1,6.054559946E-1,-1.318775177E0,8.068141937E-1,1.660329507E0
5.367662080E-1,6.290840507E-1,-1.271718025E0,8.291722536E-1,1.643332013E0
5.467482910E-1,6.383593082E-1,-1.226172447E0,8.514339924E-1,1.623558228E0
5.569019890E-1,6.209105849E-1,-1.280049324E0,6.776053309E-1,1.575818902E0
5.667419890E-1,5.805891752E-1,-1.235342979E0,7.035346031E-1,1.535616165E0
5.767365210E-1,5.159165859E-1,-1.191970825E0,7.292358875E-1,1.489546693E0
5.867474580E-1,4.304657578E-1,-1.149858475E0,7.547219992E-1,1.441208027E0
5.967503230E-1,3.273280263E-1,-1.108934402E0,7.800048590E-1,1.394735360E0
6.067505830E-1,-7.695950866E-1,-1.167317390E0,6.087321043E-1,1.524946315E0
6.167578750E-1,-7.165666223E-1,-1.126830101E0,6.371475458E-1,1.479584670E0
6.267485000E-1,-6.255912781E-1,-1.068091393E0,7.047829628E-1,1.424395554E0
6.367458960E-1,-5.756660104E-1,-1.030326843E0,7.321594954E-1,1.388892467E0
6.467557910E-1,-7.234048843E-1,-1.091821671E0,5.626235604E-1,1.425459385E0
6.567513640E-1,-6.722015738E-1,-1.054251671E0,5.927444696E-1,1.383707898E0
6.667552710E-1,-6.220047474E-1,-1.017569542E0,6.225389242E-1,1.345322411E0
6.767505830E-1,5.056755543E-1,-9.817352295E-1,6.520224810E-1,1.282437189E0
6.867482390E-1,5.752344131E-1,-9.467077255E-1,6.812095642E-1,1.300460156E0
6.967492810E-1,6.631615162E-1,-1.010911942E0,5.131909847E-1,1.313427248E0
7.067474580E-1,7.378134727E-1,-9.758987427E-1,5.448092818E-1,1.339240169E0
7.167893850E-1,7.960981131E-1,-9.416313171E-1,5.760807991E-1,1.360996264E0
7.267467810E-1,8.160361052E-1,-9.080781937E-1,6.070207953E-1,1.363449734E0
