"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.558548100E-2,1.999999955E-2,-1.971612930E0,1.999999955E-2,1.971815799E0
9.559329300E-2,3.999999911E-2,-4.041727066E0,3.999999911E-2,4.042122917E0
1.055846990E-1,5.999999866E-2,-6.689216614E0,5.999999866E-2,6.689754772E0
1.155839180E-1,7.999999821E-2,-6.832042217E0,7.999999821E-2,6.832978915E0
1.255849600E-1,-6.666666269E-2,-6.965786934E0,-6.666666269E-2,6.966424944E0
1.356079810E-1,-2.285714261E-2,-6.033349037E0,-2.285714261E-2,6.033435630E0
1.455944390E-1,1.499999966E-2,-5.189211369E0,1.499999966E-2,5.189254728E0
1.555754810E-1,4.888888821E-2,-3.541545868E0,4.888888821E-2,3.542220685E0
1.655826680E-1,7.999999821E-2,-1.240633011E0,7.999999821E-2,1.245780987E0
1.755854810E-1,-7.272727042E-2,-1.200575829E0,-7.272727042E-2,1.204973374E0
1.855862620E-1,-3.000000119E-2,-1.082195282E0,-3.000000119E-2,1.083026606E0
1.955987620E-1,9.230768308E-3,-9.804878235E-1,9.230768308E-3,9.805747224E-1
2.055958970E-1,4.571428522E-2,-8.918819427E-1,4.571428522E-2,8.942220035E-1
2.155940740E-1,7.999999821E-2,-8.137559891E-1,7.999999821E-2,8.215831115E-1
2.255979810E-1,-7.500000298E-2,-8.378963470E-1,-7.500000298E-2,8.445829085E-1
2.355951160E-1,-3.294117749E-2,-7.697849274E-1,-3.294117749E-2,7.711932811E-1
2.456042310E-1,6.666665897E-3,-7.081298828E-1,6.666665897E-3,7.081926431E-1
2.555935530E-1,4.421052337E-2,-6.519126892E-1,4.421052337E-2,6.549040350E-1
2.655979810E-1,7.999999821E-2,-6.003170013E-1,7.999999821E-2,6.108850150E-1
2.755961580E-1,-7.619047165E-2,-6.479206085E-1,-7.619047165E-2,6.568189179E-1
2.855943350E-1,-3.454545513E-2,-5.993795395E-1,-3.454545513E-2,6.013672832E-1
2.955953760E-1,5.217390601E-3,-5.541887283E-1,5.217390601E-3,5.542378451E-1
3.055961580E-1,4.333333299E-2,-5.119314194E-1,4.333333299E-2,5.155863978E-1
3.156332410E-1,7.999999821E-2,-4.722537994E-1,7.999999821E-2,4.856167733E-1
3.255902200E-1,-7.692307234E-2,-5.310134888E-1,-7.692307234E-2,5.420421048E-1
3.355768870E-1,-3.555555642E-2,-4.920873642E-1,-3.555555642E-2,4.946497439E-1
3.455824080E-1,4.285714123E-3,-4.552268982E-1,4.285714123E-3,4.552672441E-1
3.555958970E-1,4.275862128E-2,-4.202194214E-1,4.275862128E-2,4.245479496E-1
3.655979810E-1,7.999999821E-2,-3.868780136E-1,7.999999821E-2,4.030813774E-1
3.755953760E-1,-3.875000030E-2,-4.329137802E-1,-3.875000030E-2,4.363684981E-1
3.856034490E-1,1.212121104E-3,-4.004011154E-1,1.212121104E-3,4.004047848E-1
3.955956370E-1,3.999999911E-2,-3.692131042E-1,3.999999911E-2,3.735215070E-1
4.055964180E-1,7.771428674E-2,-3.392353058E-1,7.771428674E-2,3.565944663E-1
4.155953760E-1,-7.999999821E-2,-4.075899124E-1,-7.999999821E-2,4.230006337E-1
4.255995430E-1,-3.891891614E-2,-3.771152496E-1,-3.891891614E-2,3.811105818E-1
4.355990220E-1,1.052631764E-3,-3.477172852E-1,1.052631764E-3,3.477204717E-1
4.455896470E-1,3.999999911E-2,-3.193149567E-1,3.999999911E-2,3.242869738E-1
4.555860010E-1,7.800000161E-2,-2.918319702E-1,7.800000161E-2,3.119838126E-1
4.655873030E-1,-7.999999821E-2,-3.627624512E-1,-7.999999821E-2,3.799955202E-1
4.755857410E-1,-3.904761747E-2,-3.346023560E-1,-3.904761747E-2,3.391285442E-1
4.855828760E-1,9.302325197E-4,-3.072853088E-1,9.302325197E-4,3.072881249E-1
4.956207410E-1,3.999999911E-2,-2.807569504E-1,3.999999911E-2,2.863991359E-1
5.055899600E-1,7.822222263E-2,-2.549619675E-1,7.822222263E-2,2.779263159E-1
5.155930330E-1,-7.999999821E-2,-3.276805878E-1,-7.999999821E-2,3.466620357E-1
5.255839700E-1,-3.914893419E-2,-3.011350632E-1,-3.914893419E-2,3.061823058E-1
5.355886060E-1,8.333332371E-4,-2.752780914E-1,8.333332371E-4,2.752806141E-1
5.455849600E-1,3.999999911E-2,-2.500686646E-1,3.999999911E-2,2.563870840E-1
5.555870430E-1,7.840000093E-2,-2.254667282E-1,7.840000093E-2,2.512535887E-1
5.655875640E-1,-7.999999821E-2,-2.994775772E-1,-7.999999821E-2,3.201356254E-1
5.755883450E-1,-3.923076764E-2,-2.741031647E-1,-3.923076764E-2,2.796616726E-1
5.855849600E-1,4.001424462E-2,-2.297677994E-1,4.001424462E-2,2.366337279E-1
5.955841780E-1,7.855943590E-2,-2.059535980E-1,7.855943590E-2,2.340086633E-1
6.054897510E-1,-7.998625934E-2,-2.808475494E-1,-7.998625934E-2,3.027721080E-1
6.155899080E-1,-3.928475082E-2,-2.562713623E-1,-3.928475082E-2,2.622243208E-1
6.255849600E-1,7.029178087E-4,-2.321968079E-1,7.029178087E-4,2.321989358E-1
6.355828760E-1,4.001303762E-2,-2.086009979E-1,4.001303762E-2,2.161399146E-1
6.455883450E-1,7.867948711E-2,-1.854572296E-1,7.867948711E-2,2.162759982E-1
