"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.252789140E0,1.674580097E0,1.134928703E0,2.379445795E0
0.000000000E0,1.024023175E0,1.718166828E0,1.331944466E0,2.403080684E0
0.000000000E0,9.422926903E-1,1.707664490E0,1.572956085E0,2.505638515E0
0.000000000E0,9.395759106E-1,1.628839493E0,1.905505180E0,2.677101227E0
3.213451000E-3,9.534400702E-1,1.496048927E0,2.353467941E0,2.947205746E0
8.239076000E-3,1.085168839E0,1.409359932E0,2.931635857E0,3.429048793E0
1.326470100E-2,1.312180996E0,1.439710617E0,3.506847382E0,4.011553837E0
1.828918000E-2,1.530866146E0,1.571539402E0,3.941532135E0,4.510982467E0
2.331366000E-2,1.642203808E0,1.727075100E0,4.227313042E0,4.852813339E0
2.833819100E-2,1.709743381E0,1.800024033E0,4.480038643E0,5.121919092E0
3.336282600E-2,1.773088932E0,1.765719891E0,4.628762245E0,5.261848631E0
3.838761800E-2,1.833029151E0,1.623630047E0,4.650197983E0,5.255522017E0
4.341256600E-2,1.871417522E0,1.445436478E0,4.511306763E0,5.093464328E0
4.843767000E-2,1.931920767E0,1.288674355E0,4.269703865E0,4.860387900E0
5.346298300E-2,1.934062719E0,1.158558846E0,3.963677406E0,4.559999538E0
5.848850300E-2,1.831037521E0,1.022459507E0,3.640835762E0,4.201643356E0
6.351423300E-2,1.733409882E0,9.054384232E-1,3.334131241E0,3.865353760E0
6.854011800E-2,1.622406006E0,7.849702835E-1,3.023726463E0,3.520128026E0
7.356616000E-2,1.450044274E0,6.336145401E-1,2.766309738E0,3.186936672E0
7.859235800E-2,1.254040241E0,4.669365883E-1,2.580193520E0,2.906552133E0
8.361866000E-2,1.133672476E0,2.714896202E-1,2.426336288E0,2.691844661E0
8.864501400E-2,1.092067480E0,9.576082230E-2,2.280166626E0,2.530008174E0
9.367142000E-2,1.074876785E0,-2.161741257E-2,2.179435730E0,2.430178495E0
9.869782600E-2,1.042318106E0,-9.485149384E-2,2.104607582E0,2.350488654E0
1.037240240E-1,1.021505356E0,-1.481118202E-1,2.074628830E0,2.317217099E0
1.087495970E-1,1.106857538E0,-2.393288612E-1,2.103890419E0,2.389302578E0
1.137751700E-1,1.220575571E0,-3.835699558E-1,2.087348938E0,2.448255751E0
1.188007430E-1,1.352160931E0,-5.815978050E-1,2.063652039E0,2.534808657E0
1.238263160E-1,1.554414988E0,-7.674539089E-1,2.066938400E0,2.697670441E0
1.288518890E-1,1.737474203E0,-9.516913891E-1,1.987931252E0,2.806493144E0
1.338774620E-1,1.940779448E0,-8.434970379E-1,1.990034103E0,2.904883449E0
1.389030350E-1,2.051063299E0,-8.220734596E-1,2.006956100E0,2.985052465E0
1.439286080E-1,2.046636820E0,-9.358270168E-1,2.015421867E0,3.020996488E0
1.489541800E-1,2.058336735E0,-1.070429802E0,2.082875252E0,3.117842105E0
1.539797530E-1,2.030034065E0,-1.198052645E0,2.147571564E0,3.188797903E0
1.590053260E-1,1.910090685E0,-1.228484392E0,2.138085365E0,3.119139201E0
1.640308990E-1,1.742365718E0,-1.181340694E0,2.021175385E0,2.918313565E0
1.690564720E-1,1.574877024E0,-1.142948627E0,1.777815819E0,2.635753837E0
1.740820450E-1,1.489082932E0,-1.122617960E0,1.441473007E0,2.357007317E0
1.791076180E-1,1.436998367E0,-1.124682665E0,1.050270081E0,2.105455449E0
1.841331910E-1,1.409242630E0,-1.124673367E0,6.470832825E-1,1.915612629E0
1.891587640E-1,1.381887317E0,-1.174602032E0,1.934013367E-1,1.823926140E0
1.941843370E-1,1.354644775E0,-1.230324268E0,-3.207406998E-1,1.857857602E0
1.992099100E-1,1.346098065E0,-1.285975456E0,-8.670625687E-1,2.053657803E0
2.042354830E-1,1.364828229E0,-1.306991816E0,-1.326504707E0,2.308808879E0
2.092610550E-1,1.337745547E0,-1.278346777E0,-1.718743324E0,2.525433081E0
2.142866280E-1,1.259085655E0,-1.233225822E0,-2.010645390E0,2.673731007E0
2.193122010E-1,1.175658584E0,-1.190590143E0,-2.250361919E0,2.804247985E0
2.243377740E-1,1.115596294E0,-1.179211617E0,-2.442771912E0,2.932955803E0
2.293633470E-1,1.087930441E0,-1.199274302E0,-2.578341484E0,3.044617596E0
2.343889200E-1,1.111066103E0,-1.203133583E0,-2.709753036E0,3.166190112E0
2.394144930E-1,1.074700713E0,-1.205358744E0,-2.817831039E0,3.247775099E0
2.444400660E-1,9.643118382E-1,-1.215887547E0,-2.859454155E0,3.253422492E0
2.494656390E-1,7.799682021E-1,-1.168355942E0,-2.781883240E0,3.116453170E0
2.544912120E-1,5.125678182E-1,-1.015897274E0,-2.580123901E0,2.819895811E0
2.595167850E-1,2.394808531E-1,-9.127538204E-1,-2.306468487E0,2.492040830E0
2.645423580E-1,4.586935043E-3,-8.933568001E-1,-2.041867733E0,2.228751052E0
2.695679300E-1,-1.580040455E-1,-8.772010803E-1,-1.838547707E0,2.043209408E0
2.745935030E-1,-2.001296282E-1,-8.554553986E-1,-1.705729485E0,1.918689366E0
2.796190760E-1,-2.171049118E-1,-8.142948151E-1,-1.633559227E0,1.838131208E0
2.846446490E-1,-2.609672546E-1,-7.920649052E-1,-1.583625793E0,1.789788081E0
2.896702220E-1,-3.264636993E-1,-7.980947495E-1,-1.622881889E0,1.837737577E0
2.946957950E-1,-4.226187468E-1,-8.175749779E-1,-1.736942291E0,1.965706991E0
2.997213680E-1,-4.728307724E-1,-7.828915119E-1,-1.882870674E0,2.093248680E0
3.047469410E-1,-4.446299076E-1,-7.078208923E-1,-2.147052288E0,2.304026844E0
3.097725140E-1,-4.633316994E-1,-6.347591877E-1,-2.424477100E0,2.548663316E0
3.147980870E-1,-4.195584059E-1,-5.775048733E-1,-2.653229713E0,2.747575121E0
3.198236600E-1,-2.659035921E-1,-5.355496407E-1,-2.785753250E0,2.849199766E0
3.248492330E-1,-7.923805714E-2,-4.798035622E-1,-2.879711151E0,2.920483940E0
3.298748050E-1,7.825529575E-2,-4.197182655E-1,-2.935188770E0,2.966078291E0
3.349003780E-1,-2.680289745E-2,-1.833162308E-1,-2.842028618E0,2.848060726E0
3.399259510E-1,-9.274816513E-2,-4.386496544E-2,-2.781995773E0,2.783887002E0
3.449515240E-1,5.091428757E-2,-8.748078346E-2,-2.683526993E0,2.685435211E0
3.499770970E-1,3.548200130E-1,-2.040235996E-1,-2.594685555E0,2.626769118E0
3.550026700E-1,7.381840944E-1,-2.737140656E-1,-2.558425903E0,2.676822417E0
3.600282430E-1,9.006912708E-1,-2.055289745E-1,-2.560225487E0,2.721808492E0
3.650538160E-1,8.473535180E-1,-4.741692543E-2,-2.442237854E0,2.585494553E0
3.700793890E-1,7.836648226E-1,8.566284180E-2,-2.204660892E0,2.341366765E0
3.751049620E-1,7.815400362E-1,1.553914547E-1,-2.014968395E0,2.166806167E0
3.801305350E-1,7.455152869E-1,1.909649372E-1,-1.863626480E0,2.016274859E0
3.851561080E-1,6.709489822E-1,2.835834026E-1,-1.621540070E0,1.777634462E0
3.901816800E-1,6.582056880E-1,4.239184856E-1,-1.331985474E0,1.545032981E0
3.952072530E-1,6.352121234E-1,6.261970997E-1,-9.854831696E-1,1.329208158E0
4.002328260E-1,5.736106634E-1,7.851874828E-1,-6.346750259E-1,1.161189461E0
4.052583990E-1,5.697289705E-1,8.866698742E-1,-3.273038864E-1,1.103586154E0
4.102839720E-1,5.616620779E-1,9.500660896E-1,8.408546448E-3,1.103703116E0
4.153095450E-1,5.545183420E-1,1.023191214E0,3.438081741E-1,1.213513458E0
4.203351180E-1,5.674885511E-1,1.120294094E0,6.645917892E-1,1.420839315E0
4.253606910E-1,5.386326313E-1,1.217539310E0,1.013830185E0,1.673433216E0
4.303862640E-1,5.447446108E-1,1.238353491E0,1.386769295E0,1.937368095E0
4.354118370E-1,4.665904045E-1,1.264106035E0,1.754766464E0,2.212436670E0
4.404374100E-1,4.571641684E-1,1.256294012E0,2.170499802E0,2.549184793E0
4.454629830E-1,4.828116894E-1,1.181277275E0,2.490498543E0,2.798411356E0
