"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.037148000E-3,1.227126122E-1,-3.914117813E-2,-6.009745598E-1,6.146225171E-1
1.106277300E-2,9.494686127E-2,-2.026002407E-1,-4.411740303E-1,4.946678573E-1
1.608850200E-2,7.913827896E-2,-3.275032043E-1,-3.024463654E-1,4.527637574E-1
2.111433500E-2,9.375429153E-2,-3.565921783E-1,-2.272653580E-1,4.331251456E-1
2.614027300E-2,9.500837326E-2,-3.616573811E-1,-1.432991028E-1,4.004463574E-1
3.116626200E-2,8.220338821E-2,-3.475275040E-1,-1.175498962E-2,3.573107091E-1
3.619230400E-2,1.174354553E-2,-3.430294991E-1,1.629881859E-1,3.799635467E-1
4.121839800E-2,-8.755874634E-2,-3.077182770E-1,3.026227951E-1,4.403835012E-1
4.624449200E-2,-1.497306824E-1,-2.681496143E-1,3.760013580E-1,4.854899733E-1
5.127058500E-2,-2.138133049E-1,-2.006537914E-1,4.031949043E-1,4.985420787E-1
5.629667900E-2,-3.134913445E-1,-1.482398510E-1,3.896574974E-1,5.216175244E-1
6.132225200E-2,-4.203062057E-1,-1.392619610E-1,2.931952477E-1,5.310505189E-1
6.634782500E-2,-5.199518204E-1,-1.446120739E-1,2.188487053E-1,5.823721347E-1
7.137339800E-2,-5.883102417E-1,-1.116931438E-1,1.755137444E-1,6.240107157E-1
7.639897100E-2,-5.535507202E-1,-5.027174950E-2,1.338000298E-1,5.717063028E-1
8.142454400E-2,-4.299597740E-1,5.836105347E-2,7.413482666E-2,4.401901775E-1
8.645011700E-2,-2.745594978E-1,1.899764538E-1,-2.278900146E-2,3.346540145E-1
9.147568900E-2,-1.677813530E-1,2.826347351E-1,-7.632637024E-2,3.374295344E-1
9.650126200E-2,-1.608686447E-1,3.129303455E-1,-7.301044464E-2,3.593530952E-1
1.015268350E-1,-1.908588409E-1,3.242104053E-1,5.364418030E-3,3.762555795E-1
1.065524080E-1,-1.861634254E-1,3.308150768E-1,5.844354630E-2,3.840717174E-1
1.115779810E-1,-9.487771988E-2,3.658599854E-1,1.435098648E-1,4.042899849E-1
1.166035540E-1,6.303453445E-2,4.240527153E-1,2.558388710E-1,4.992470188E-1
1.216291270E-1,2.061290741E-1,4.524521828E-1,3.385281563E-1,6.015010270E-1
1.266547000E-1,2.392945290E-1,4.035835266E-1,3.208680153E-1,5.684169401E-1
1.316802730E-1,1.679577827E-1,3.112387657E-1,2.561273575E-1,4.366699089E-1
1.367058460E-1,2.138042450E-2,2.140452862E-1,1.921553612E-1,2.884374974E-1
1.417314190E-1,-1.284642220E-1,1.407837868E-1,6.229305267E-2,2.005082426E-1
1.467569920E-1,-3.193521500E-1,2.529931068E-2,-2.044553757E-1,3.800366449E-1
1.517825640E-1,-5.604090691E-1,-1.216871738E-1,-4.933209419E-1,7.564599426E-1
1.568081370E-1,-7.703304291E-1,-2.327132225E-1,-6.572866440E-1,1.039033275E0
1.618337100E-1,-8.538107872E-1,-2.410750389E-1,-6.220097542E-1,1.083515652E0
1.668592830E-1,-7.636809349E-1,-1.950705051E-1,-4.988703728E-1,9.328090486E-1
1.718848560E-1,-5.721354485E-1,-9.072303772E-2,-3.362736702E-1,6.698131248E-1
1.769104290E-1,-3.464345932E-1,-2.872943878E-4,-1.723566055E-1,3.869416098E-1
1.819360020E-1,-9.207820892E-2,1.089284420E-1,-8.727216721E-2,1.672131371E-1
1.869615750E-1,1.611895561E-1,1.935737133E-1,-7.000446320E-2,2.614449853E-1
1.919871480E-1,3.981556892E-1,2.439415455E-1,-3.371334076E-2,4.681581141E-1
1.970127210E-1,6.279172897E-1,2.645285130E-1,5.996608734E-2,6.839966290E-1
2.020382940E-1,8.602423668E-1,2.315528393E-1,2.389969826E-1,9.223628379E-1
2.070638670E-1,1.129106045E0,1.448843479E-1,3.646554947E-1,1.195343283E0
2.120894390E-1,1.439709663E0,1.233541965E-1,4.987306595E-1,1.528630905E0
2.171150120E-1,1.645053864E0,9.002971649E-2,5.554642677E-1,1.738633980E0
2.221405850E-1,1.736289978E0,3.556823730E-2,4.691581726E-1,1.798910053E0
2.271661580E-1,1.694785595E0,-6.322312355E-2,3.552255630E-1,1.732766740E0
2.321917310E-1,1.578203201E0,-1.865637302E-1,1.190614700E-1,1.593645821E0
2.372173040E-1,1.296120167E0,-3.096835613E-1,-1.336026192E-1,1.339283784E0
2.422428770E-1,9.065690041E-1,-3.888599873E-1,-3.505268097E-1,1.046875586E0
2.472684500E-1,5.431756973E-1,-4.045047760E-1,-6.081724167E-1,9.102404300E-1
2.522940230E-1,2.008433342E-1,-4.132416248E-1,-8.636913300E-1,9.782992379E-1
2.573195960E-1,-1.254353523E-1,-3.859987259E-1,-1.098277092E0,1.170872160E0
2.623451690E-1,-4.401106834E-1,-3.607583046E-1,-1.184271336E0,1.313903560E0
2.673707420E-1,-6.806244850E-1,-2.994437218E-1,-1.076014042E0,1.307945890E0
2.723963140E-1,-7.800164223E-1,-2.452721596E-1,-9.086766243E-1,1.222406339E0
2.774218870E-1,-7.526965141E-1,-2.172863483E-1,-7.117824554E-1,1.058489331E0
2.824474600E-1,-6.223711967E-1,-1.966950893E-1,-4.480533600E-1,7.916986031E-1
2.874730330E-1,-3.089790344E-1,-1.268408298E-1,-3.126449585E-1,4.574970053E-1
2.924986060E-1,9.027910233E-2,-2.279186249E-2,-1.519079208E-1,1.781735158E-1
2.975241790E-1,5.550947189E-1,1.049845219E-1,2.245197296E-1,6.079152949E-1
3.025497520E-1,1.013339043E0,2.791266441E-1,8.961019516E-1,1.381219174E0
3.075753250E-1,1.412876129E0,4.741096497E-1,1.737373352E0,2.288987785E0
3.126008980E-1,1.790865421E0,6.696500778E-1,2.484633446E0,3.135128952E0
3.176264710E-1,1.846044064E0,9.136037827E-1,3.613571167E0,4.159380619E0
3.226520440E-1,1.605900764E0,1.046554089E0,5.328128815E0,5.662433169E0
3.276776170E-1,9.500298500E-1,1.027919769E0,6.973569870E0,7.112654392E0
3.327031890E-1,6.015524864E-1,9.911100864E-1,6.273966789E0,6.380189956E0
3.377287620E-1,8.734941483E-2,6.591615677E-1,5.166838646E0,5.209447714E0
3.427543350E-1,-2.186059952E-1,-7.687395811E-1,2.858190536E0,2.967827870E0
3.477799080E-1,2.869296074E-1,-1.624971867E0,2.134842873E0,2.698224649E0
3.528054810E-1,1.003007889E-1,-2.257325172E0,8.103179932E-1,2.400456713E0
3.578310540E-1,-4.318177700E-1,-2.146938801E0,-6.929588318E-2,2.191030516E0
3.628566270E-1,-6.205954552E-1,-1.279338598E0,-1.133805275E0,1.818614959E0
3.678822000E-1,1.415529251E-1,1.222537279E0,-2.830851078E0,3.086802951E0
3.729077730E-1,-3.832626343E-1,2.390028954E0,-4.311206818E0,4.944252509E0
3.779333460E-1,-6.300263405E-1,2.808427334E0,-4.815706730E0,5.610278833E0
3.829589190E-1,-1.633356094E0,2.385039568E0,-5.578515053E0,6.283000562E0
3.879844920E-1,-1.906018019E0,1.430632114E0,-6.170420170E0,6.614657815E0
3.930100640E-1,-2.770361423E0,2.479696274E-1,-6.982279778E0,7.515891314E0
3.980356370E-1,-3.086411953E0,-6.412653923E-1,-7.074831963E0,7.745347464E0
4.030612100E-1,-2.846970081E0,-9.051482677E-1,-7.200969696E0,7.796056477E0
4.080867830E-1,-1.431683183E0,-1.613641500E0,-7.580015182E0,7.881001573E0
4.131123560E-1,1.022451401E0,-1.680927157E0,-8.672964096E0,8.893324979E0
4.181379290E-1,1.570281267E0,-7.057564259E-1,-8.478395462E0,8.651419826E0
4.231635020E-1,1.226666451E0,-2.603185177E-1,-7.906418800E0,8.005244191E0
4.281890750E-1,-4.427270293E-1,-6.798576117E-1,-9.904530525E0,9.937702879E0
4.332146480E-1,-2.683668733E-1,-8.982241154E-1,-7.893662453E0,7.949134183E0
4.382402210E-1,-4.236915112E-1,-1.016266942E0,-6.956321716E0,7.042920191E0
4.432657940E-1,-1.978839636E-1,-1.490063190E0,-6.267595291E0,6.445323662E0
4.482913670E-1,1.202336550E-1,-2.290711880E0,-4.284840107E0,4.860213142E0
4.533169390E-1,1.104586005E0,-2.141698360E0,8.770236015E0,9.095274700E0
4.583425120E-1,1.326720715E0,-1.027907372E0,1.386659813E1,1.396779600E1
4.633680850E-1,-1.007865667E-1,3.096368313E-1,1.017139721E1,1.017660818E1
4.683936580E-1,5.325423479E-1,1.575599551E0,6.242782593E0,6.460530148E0
4.734192310E-1,5.281953812E-1,2.129878998E0,2.165032387E0,3.082651479E0
4.784448040E-1,-9.305202961E-1,1.889026880E0,-1.693466187E0,2.702243198E0
4.834703770E-1,-2.904386282E0,1.470809340E0,-3.595363140E0,4.850296475E0
4.884959500E-1,-4.472650528E0,1.059652090E0,-4.178131580E0,6.211622075E0
4.935215230E-1,-5.505681038E0,7.532836199E-1,-4.605961323E0,7.217675499E0
4.985470960E-1,-6.354513645E0,6.448024511E-1,-4.956488609E0,8.084701182E0
5.035726690E-1,-6.896549225E0,8.071583509E-1,-4.943604469E0,8.523680013E0
5.085982420E-1,-6.984262943E0,1.130257130E0,-4.525549412E0,8.398690822E0
5.136238140E-1,-6.736097336E0,1.564787745E0,-3.914368629E0,7.946436294E0
5.186493870E-1,-6.370564461E0,2.027599335E0,-3.494101048E0,7.543473520E0
5.236749600E-1,-6.546971321E0,2.296978474E0,-3.294200420E0,7.680540345E0
5.287005330E-1,-7.844020844E0,2.166313410E0,-3.047197342E0,8.689475728E0
5.337261060E-1,-6.783550739E0,2.356436729E0,-3.288244724E0,7.898221829E0
5.387516790E-1,-5.324707031E0,2.721697330E0,-4.010293961E0,7.200180482E0
5.437772520E-1,-4.267752171E0,3.001153946E0,-4.330973148E0,6.780705126E0
5.488028250E-1,-4.362692356E0,2.732963562E0,-4.134649277E0,6.602840227E0
5.538283980E-1,-5.202162266E0,2.044490337E0,-3.861457825E0,6.793621237E0
5.588539710E-1,-6.158295155E0,1.110859871E0,-3.783780098E0,7.312701327E0
5.638795440E-1,-7.367202282E0,1.842931509E-1,-3.919812202E0,8.347128915E0
5.689051170E-1,-8.741767883E0,-5.248919725E-1,-4.110738754E0,9.674305681E0
5.739306890E-1,-9.854317665E0,-9.693198204E-1,-3.911290169E0,1.064637724E1
5.789562620E-1,-1.059283352E1,-1.173761845E0,-3.532097340E0,1.122771350E1
5.839818350E-1,-1.083017921E1,-1.196419001E0,-3.370204449E0,1.140537059E1
5.890074080E-1,-1.045425797E1,-1.199358225E0,-3.563989162E0,1.110999498E1
5.940329810E-1,-9.008365631E0,-1.124493122E0,-3.218741417E0,9.632000438E0
5.990585540E-1,-7.489821911E0,-9.815351963E-1,-3.219939232E0,8.211507307E0
6.040841270E-1,-6.188739300E0,-9.359732866E-1,-4.987708092E0,8.003360052E0
6.091097000E-1,-5.033678055E0,-1.412985086E0,-4.617577076E0,6.975418243E0
6.141352730E-1,-4.365682602E0,-2.193327427E0,-5.148812294E0,7.097896718E0
6.191608460E-1,-3.758114100E0,-2.862396717E0,-5.279264927E0,7.084304816E0
6.241864190E-1,-2.815937996E0,-3.422226906E0,-5.463281155E0,7.034812348E0
6.292119920E-1,-2.217355013E0,-3.526089668E0,-5.757364273E0,7.106139245E0
6.342375640E-1,-6.533823609E-1,-3.674279213E0,-6.236852646E0,7.268119920E0
6.392631370E-1,5.849695206E-1,-4.050649166E0,-6.484297276E0,7.667858838E0
6.442887100E-1,1.115055561E0,-4.583946228E0,-6.722504616E0,8.212671930E0
6.493143350E-1,1.718906164E0,-4.938372612E0,-7.303697586E0,8.982547572E0
6.543399600E-1,2.274973392E0,-5.280003548E0,-7.288377285E0,9.283015935E0
6.593655850E-1,2.572161436E0,-5.535615921E0,-7.440498352E0,9.623932346E0
6.643912100E-1,2.991872787E0,-5.732323647E0,-7.198382854E0,9.676133158E0
6.694168350E-1,3.493462324E0,-5.983624935E0,-6.890663147E0,9.771861899E0
6.744424600E-1,3.892660856E0,-6.336598396E0,-6.544218063E0,9.906163629E0
6.794680850E-1,4.225175381E0,-6.766779423E0,-6.205096245E0,1.010666266E1
6.844937100E-1,4.535486221E0,-7.254798889E0,-5.814410210E0,1.034456902E1
6.895193350E-1,4.843806744E0,-7.796064854E0,-5.280157566E0,1.058872773E1
6.945449600E-1,5.098233700E0,-8.252279282E0,-4.448762894E0,1.067162553E1
6.995705850E-1,5.213630676E0,-8.553006172E0,-3.458725929E0,1.059710548E1
7.045962100E-1,5.143291950E0,-8.713801384E0,-2.525357246E0,1.042886455E1
7.096218350E-1,5.022712231E0,-8.711334229E0,-1.711048126E0,1.020013078E1
7.146474600E-1,5.054304600E0,-8.616996765E0,-9.975237846E-1,1.003960567E1
7.196730850E-1,5.154328346E0,-8.553459167E0,-3.761491776E-1,9.993510526E0
7.246987100E-1,5.062553406E0,-8.599282265E0,9.437417984E-2,9.979278979E0
7.297243350E-1,4.652695179E0,-8.646469116E0,3.116440773E-1,9.823752981E0
7.347499600E-1,4.090473175E0,-8.616196632E0,4.026122093E-1,9.546355943E0
7.397755850E-1,3.608524323E0,-8.549688339E0,4.507212639E-1,9.290950874E0
7.448012100E-1,3.171783924E0,-8.412254333E0,6.446871758E-1,9.013426529E0
7.498268350E-1,2.558911324E0,-8.237032890E0,1.005648375E0,8.683781817E0
7.548524600E-1,1.663790226E0,-8.062808037E0,1.640877485E0,8.394614361E0
7.598780850E-1,6.150074005E-1,-7.910121918E0,2.586026430E0,8.344806502E0
7.649037100E-1,-4.682149887E-1,-7.776131630E0,3.905880213E0,8.714548103E0
7.699293350E-1,-1.610150337E0,-7.720131874E0,5.415896416E0,9.566867525E0
7.749549600E-1,-2.863718033E0,-7.667478561E0,6.949135780E0,1.073692677E1
7.799805850E-1,-4.329030991E0,-7.572263718E0,8.447845459E0,1.214272540E1
7.850062100E-1,-5.985715866E0,-7.350019932E0,9.714838028E0,1.357312290E1
7.900318350E-1,-7.473014832E0,-6.949338913E0,1.048472881E1,1.463109019E1
7.950574600E-1,-8.764393806E0,-6.399706364E0,1.066419220E1,1.521498720E1
8.000830850E-1,-1.023905277E1,-5.807087898E0,1.035713482E1,1.567898955E1
8.051087100E-1,-1.188319111E1,-5.153839111E0,9.611557007E0,1.612929994E1
8.101342830E-1,-1.320000935E1,-4.398922443E0,8.343553543E0,1.622361400E1
8.151598560E-1,-1.393764305E1,-3.596630812E0,6.787353039E0,1.591420147E1
8.201854290E-1,-1.438562393E1,-2.824591637E0,5.302786827E0,1.558986985E1
8.252110020E-1,-1.470966721E1,-2.122020245E0,3.935754299E0,1.537424603E1
8.302365750E-1,-1.494213676E1,-1.389481544E0,2.651682854E0,1.523907911E1
8.352621480E-1,-1.475730038E1,-7.857022882E-1,1.440462589E0,1.484823811E1
8.402877210E-1,-1.468631935E1,-3.637528419E-1,1.914746761E-1,1.469207115E1
8.453132940E-1,-1.466694164E1,6.177520752E-2,-7.271076441E-1,1.468508355E1
8.503388670E-1,-1.435497093E1,4.849308729E-1,-1.363693714E0,1.442775135E1
8.553644390E-1,-1.393277836E1,8.091193438E-1,-1.785824180E0,1.407004459E1
8.603900120E-1,-1.355861568E1,1.105465531E0,-1.989272952E0,1.374828426E1
8.654155850E-1,-1.313219166E1,1.397435188E0,-2.066073895E0,1.336697214E1
8.704411580E-1,-1.271581936E1,1.593942761E0,-1.979844689E0,1.296736290E1
8.754667310E-1,-1.236210251E1,1.671272635E0,-1.671045661E0,1.258598920E1
8.804923040E-1,-1.211403561E1,1.701850653E0,-1.248179793E0,1.229650792E1
8.855178770E-1,-1.201919556E1,1.666927457E0,-8.252305984E-1,1.216226601E1
8.905434500E-1,-1.216329861E1,1.547749281E0,-4.544326067E-1,1.226979502E1
8.955690230E-1,-1.240714931E1,1.440282822E0,-2.074607611E-1,1.249218991E1
9.005945960E-1,-1.269774151E1,1.473833084E0,-9.933990240E-2,1.278337560E1
9.056201690E-1,-1.287197971E1,1.676743865E0,-1.557120085E-1,1.298166314E1
9.106457420E-1,-1.285302925E1,1.971846104E0,-4.979071021E-1,1.301293393E1
9.156713140E-1,-1.272680378E1,2.214918852E0,-1.155580997E0,1.296968648E1
9.206968870E-1,-1.257912827E1,2.376371384E0,-2.056844473E0,1.296580958E1
9.257224600E-1,-1.251012039E1,2.536570549E0,-3.348940372E0,1.319669292E1
9.307480330E-1,-1.236152172E1,2.819013596E0,-6.031432629E0,1.404037879E1
9.357736060E-1,-1.174588966E1,3.285891771E0,-1.006956768E1,1.581642191E1
9.407991790E-1,-1.076949024E1,3.823186398E0,-1.272272587E1,1.710164986E1
9.458247520E-1,-9.252120018E0,4.208006382E0,-1.276677990E1,1.631869209E1
9.508503250E-1,-8.099136353E0,3.801417112E0,-1.214046192E1,1.508103436E1
9.558758980E-1,-7.343729973E0,3.317515612E0,-1.066151237E1,1.336428546E1
9.609014710E-1,-6.779740334E0,2.914221764E0,-8.871012688E0,1.153916954E1
9.659270440E-1,-6.144062996E0,2.730667114E0,-7.673846245E0,1.020264520E1
9.709526170E-1,-5.762223244E0,2.628556013E0,-6.634874344E0,9.172463191E0
9.759781890E-1,-5.371129036E0,2.441131830E0,-5.495774746E0,8.062982810E0
9.810037620E-1,-4.994876862E0,2.121162415E0,-4.256642342E0,6.896892697E0
9.860293350E-1,-4.824711800E0,1.730792880E0,-3.027568102E0,5.953121581E0
9.910549080E-1,-4.664271355E0,1.403820038E0,-1.880338907E0,5.221284552E0
9.960804810E-1,-4.446676254E0,1.240678430E0,-8.629444838E-1,4.696475898E0
1.001106054E0,-3.909246445E0,1.236908436E0,-1.483051181E-1,4.102943413E0
1.006131627E0,-3.640952110E0,1.192394495E0,6.656440496E-1,3.888626866E0
1.011157200E0,-3.761167526E0,9.018833637E-1,1.497477651E0,4.147555193E0
1.016182773E0,-3.752837181E0,5.035562515E-1,2.035548210E0,4.298931533E0
1.021208346E0,-2.989534378E0,5.373890400E-1,2.519586086E0,3.946443567E0
1.026233919E0,-2.036169052E0,9.410994053E-1,3.173564911E0,3.886279293E0
1.031259492E0,-1.671939850E0,1.222729325E0,3.801707268E0,4.329368085E0
1.036285064E0,-1.541892052E0,1.158314586E0,3.779285431E0,4.242890777E0
1.041310637E0,-1.602709770E0,9.256700277E-1,3.555740833E0,4.008595325E0
1.046336210E0,-1.394982338E0,7.358458042E-1,3.035415888E0,3.420700861E0
1.051361783E0,-1.014670372E0,5.467852354E-1,2.391234875E0,2.654530897E0
1.056387356E0,-1.988315582E-1,7.468404770E-1,1.877623081E0,2.030461308E0
1.061412929E0,-2.437715530E-1,8.815448284E-1,1.887488842E0,2.097417456E0
1.066438502E0,-4.117183685E-1,8.876640797E-1,2.218455553E0,2.424665869E0
1.071464075E0,-1.909303665E-1,9.700123072E-1,2.648093224E0,2.826619182E0
1.076489648E0,-1.060000420E0,4.146419764E-1,2.895845890E0,3.111503218E0
1.081515221E0,-1.014275551E0,4.263523817E-1,3.469949484E0,3.640203383E0
1.086540794E0,-1.517747879E0,2.452462912E-1,4.450729370E0,4.708789260E0
1.091566367E0,-3.288201332E0,-9.723393917E-1,6.012805939E0,6.921816752E0
1.096591939E0,2.064409256E-1,-7.096278667E-2,-8.683114648E-1,8.953314318E-1
1.101617512E0,2.001216412E0,1.214081526E0,-5.798609734E0,6.253218045E0
1.106643085E0,4.584566593E0,2.333878040E0,-1.153928280E1,1.263409217E1
1.111668658E0,5.536766529E0,2.199579477E0,-1.451685047E1,1.569180936E1
1.116694231E0,3.153528214E0,9.290446043E-1,-1.246527290E1,1.289150467E1
1.121719804E0,5.666761398E-1,6.903421879E-2,-9.242891312E0,9.260503624E0
1.126745377E0,-1.138185501E0,7.407069206E-2,-6.347259998E0,6.448927212E0
1.131770950E0,-2.143662453E0,3.345652819E-1,-4.355743408E0,4.866181591E0
1.136796523E0,-2.813571930E0,3.680608273E-1,-3.142905235E0,4.234325105E0
1.141822096E0,-2.459260941E0,1.347893476E-1,-2.514844418E0,3.520024856E0
1.146847669E0,-1.875725746E0,-3.021819592E-1,-2.420457363E0,3.077056200E0
1.151873242E0,-9.053249359E-1,-3.769773245E-1,-1.999977946E0,2.227473216E0
1.156898814E0,3.463563919E-1,-2.940785885E-2,-1.622492552E0,1.659309993E0
1.161924387E0,1.190311432E0,5.200205445E-1,-1.503877401E0,1.987186431E0
1.166949960E0,1.920318604E-1,6.524361372E-1,-1.280106664E0,1.449559319E0
1.171975533E0,-1.503776550E0,-6.263029575E-2,-1.175453424E0,1.909700820E0
1.177001106E0,-2.786354065E0,-7.174519897E-1,9.928382635E-1,3.043720445E0
1.182026679E0,-2.787907600E0,-9.037889838E-1,2.571706772E0,3.899094643E0
1.187052252E0,2.106852055E0,1.181138754E0,-1.025757790E0,2.624136692E0
1.192077825E0,2.674048424E0,1.552062869E0,-4.039288163E-1,3.118107216E0
1.197103398E0,2.846925259E0,1.632298529E-1,1.894111633E-1,2.857884533E0
1.202128971E0,3.082148075E0,-9.021612406E-1,6.567318439E-1,3.277930502E0
1.207154544E0,1.815931320E0,-1.297247767E0,1.424121618E0,2.647372417E0
1.212180117E0,1.048491478E0,-1.038746595E0,1.156037092E0,1.874766819E0
1.217205689E0,3.433780670E-1,-7.598420978E-1,8.577629328E-1,1.196254889E0
1.222231262E0,5.706386566E-1,-7.151363492E-1,4.550817013E-1,1.021835520E0
1.227256835E0,1.322882652E0,-8.797816038E-1,-5.957937241E-2,1.589837691E0
1.232282408E0,1.992354870E0,-1.022487402E0,-5.984148979E-1,2.317985937E0
1.237307981E0,2.607793808E0,-1.050904512E0,-1.076723337E0,3.010701245E0
1.242333554E0,3.116622448E0,-1.073405623E0,-1.367149353E0,3.568561681E0
1.247359127E0,3.409067154E0,-1.108021021E0,-1.561455727E0,3.909935221E0
1.252384700E0,3.667289257E0,-1.192662239E0,-1.683440208E0,4.207781440E0
1.257410273E0,3.728814602E0,-1.413523793E0,-1.599298954E0,4.296494501E0
1.262435846E0,3.636904716E0,-1.603687763E0,-1.424711227E0,4.222403633E0
1.267461419E0,2.913273335E0,-1.655071139E0,-8.554533720E-1,3.458066290E0
1.272486992E0,2.596286774E0,-1.440437794E0,-1.944699883E-1,2.975463766E0
1.277512564E0,2.728479862E0,-1.395895123E0,1.282086372E-1,3.067501102E0
1.282538137E0,3.658648014E0,-1.357171535E0,2.342950106E-1,3.909285615E0
1.287563710E0,4.070903301E0,-1.523280740E0,5.370969772E-1,4.379624534E0
1.292589283E0,3.779446125E0,-1.567697287E0,8.836799860E-1,4.186021752E0
1.297614856E0,3.846684933E0,-1.534148932E0,1.364137173E0,4.360214231E0
1.302640429E0,3.660039425E0,-1.502494335E0,1.610135078E0,4.271523474E0
1.307666002E0,2.961321354E0,-1.522844076E0,2.578185081E0,4.211355667E0
1.312691575E0,3.827028751E0,-1.058624506E0,2.017374516E0,4.453833724E0
1.317717148E0,5.079463005E0,-3.808909357E-1,7.044175863E-1,5.142200547E0
1.322742721E0,5.809911251E0,1.025502086E-1,-5.589786172E-1,5.837640138E0
1.327768294E0,3.871461391E0,-5.701771379E-1,-4.537514448E-1,3.939442302E0
1.332793867E0,2.131490707E-1,-1.254163146E0,2.180287361E0,2.524284196E0
1.337819439E0,-9.217586517E-1,-5.809590220E-2,2.979215384E0,3.119092568E0
1.342845012E0,-5.256280899E-1,1.455288172E0,1.418852091E0,2.099354617E0
1.347870585E0,-2.042819023E0,7.931802273E-1,9.643591642E-1,2.394208227E0
1.352896158E0,-1.439379692E0,1.551807404E0,-1.128821373E-1,2.119590171E0
1.357921731E0,-2.500643730E0,1.189950466E0,-4.917843342E-1,2.812659419E0
1.362947356E0,-2.355037689E0,1.460552335E0,-1.082257986E0,2.975012267E0
1.367972981E0,-2.630071640E0,1.643466592E0,-9.612410665E-1,3.246882144E0
1.372998606E0,-5.568744659E0,-1.113136768E0,3.870209455E0,6.872300326E0
1.378024231E0,-5.492459297E0,-5.351213217E-1,1.274449348E1,1.388796523E1
1.383049856E0,1.479891777E0,4.671176434E0,3.967532635E0,6.304861946E0
1.388075481E0,5.032903671E0,4.750794888E0,-5.088312626E0,8.590174434E0
1.393101106E0,5.382225037E0,2.905631304E0,-9.001730919E0,1.088311532E1
1.398126731E0,3.275837898E0,1.796050429E0,-8.746168137E0,9.510644991E0
1.403152356E0,1.200606346E0,1.874325275E0,-5.886182785E0,6.292988051E0
1.408177981E0,-1.366270065E0,1.812078953E0,-2.694034815E0,3.522520065E0
1.413203606E0,-2.344705582E0,1.658243418E0,-1.211141348E0,3.116773791E0
1.418229231E0,-4.777908325E-2,1.752657413E0,-1.560859442E0,2.347418379E0
1.423254856E0,5.863132477E-1,1.486198902E0,-2.289982319E0,2.792233769E0
1.428280481E0,8.175430298E-1,1.271005630E0,-2.861785650E0,3.236301751E0
1.433306106E0,-1.281509399E0,9.138228893E-1,-2.858374596E0,3.263072776E0
1.438331731E0,-1.515378952E-1,1.194118619E0,-3.067658186E0,3.295361855E0
1.443357356E0,2.894881725E0,1.552195549E0,-2.988046169E0,4.440503478E0
1.448382981E0,2.730575085E0,1.346181393E0,-2.629866600E0,4.022989308E0
1.453408606E0,2.343837738E0,1.149225473E0,-2.251301289E0,3.447122281E0
1.458434231E0,1.705654621E0,1.074232459E0,-1.830945611E0,2.723158992E0
1.463459856E0,-1.227111816E0,1.277080059E0,-1.550702929E0,2.354021339E0
1.468485481E0,2.720946789E0,1.431806564E0,-1.496367455E0,3.419464435E0
1.473511106E0,4.428273201E0,1.338326216E0,-1.246624112E0,4.791115974E0
1.478536731E0,3.884161472E0,1.443745375E0,-1.041108131E0,4.272589050E0
1.483562356E0,1.558625221E0,1.081544399E0,-9.816440940E-1,2.136042133E0
1.488587981E0,2.165555954E-1,7.716140151E-1,-3.890165091E-1,8.908526020E-1
1.493613606E0,-5.342969894E-1,4.278355837E-1,3.332703114E-1,7.613052345E-1
1.498639231E0,-2.787199020E-1,1.356414795E0,-9.073987007E-1,1.655571890E0
1.503664856E0,2.281149864E0,1.890400171E0,-4.693276286E-1,2.999587627E0
1.508690481E0,2.118082047E-1,2.357956886E0,-3.938309550E-1,2.399984628E0
1.513716106E0,-1.389690399E0,2.793762207E0,-1.115239859E0,3.313624393E0
