"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.616371200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
8.616657700E-2,8.562046885E-1,8.935613632E-1,1.999999955E-2,1.237714983E0
9.616397200E-2,4.641364813E-1,2.303027153E0,-9.333332628E-2,2.351184351E0
1.061639720E-1,3.781023622E-1,3.268473625E0,-3.999999911E-2,3.290513825E0
1.161661600E-1,1.784888387E0,4.344863892E0,1.303851582E-9,4.697197972E0
1.261708990E-1,2.448738575E0,5.143223763E0,3.333333135E-2,5.696506156E0
1.362231390E-1,2.778342247E0,6.133420944E0,6.285714358E-2,6.733646051E0
1.461611600E-1,2.526331902E0,7.122893333E0,-8.500000089E-2,7.558120621E0
1.561871490E-1,2.299798489E0,6.436720848E0,-3.999999911E-2,6.835352834E0
1.661681390E-1,1.950026393E0,5.599305153E0,1.394295454E0,6.090885070E0
1.761657950E-1,7.647404671E-1,3.015092850E0,1.385627389E0,3.405227766E0
1.861652740E-1,6.358591318E-1,1.032756805E0,2.189300537E0,2.502786506E0
1.961657950E-1,4.661395550E-1,-5.703907013E-1,2.173139572E0,2.294595223E0
2.061626700E-1,-4.611738920E-1,-1.496478081E0,2.765458107E0,3.178031867E0
2.161702220E-1,-4.524577856E-1,-2.193969727E0,2.562343121E0,3.403501649E0
2.261639720E-1,-3.883486986E-1,-2.825201035E0,2.298328876E0,3.662634465E0
2.361657950E-1,3.148341179E-1,-3.929923058E0,2.071892738E0,4.453779887E0
2.461668370E-1,4.289252758E-1,-3.787149429E0,1.339272499E0,4.039817882E0
2.561650140E-1,1.177842140E0,-3.568879128E0,1.256556511E0,3.962719344E0
2.661603270E-1,1.180002928E0,-3.371435165E0,1.192320824E0,3.765715195E0
2.761629310E-1,1.191384554E0,-3.191843033E0,1.134308696E0,3.590809842E0
2.861590240E-1,1.182441711E0,-3.027667999E0,1.062934399E0,3.419761900E0
2.961628270E-1,1.076820135E0,-2.972552299E0,9.899606705E-1,3.312948974E0
3.061814720E-1,1.920645237E-1,-1.090953827E0,9.205522537E-1,1.440307427E0
3.161946490E-1,-8.098955154E-1,-5.208778381E-2,7.554336786E-1,1.108748811E0
3.261713680E-1,-2.112780094E0,8.068380356E-1,-1.403167248E-1,2.265947070E0
3.361717850E-1,-1.996010423E0,9.267473221E-1,-2.289887667E-1,2.212544703E0
3.461648060E-1,-2.079010010E0,1.738252640E0,-1.786654711E0,3.245911261E0
3.561767330E-1,-1.968699336E0,1.661386490E0,-1.686425209E0,3.078962834E0
3.661741290E-1,-1.827773571E0,-1.746740341E-1,-1.554605126E0,2.405839634E0
3.761743890E-1,-1.731905580E0,-1.484680176E0,-1.467273593E0,2.712317083E0
3.861767330E-1,-1.834575176E0,-2.968113899E0,-1.577962399E0,3.829534114E0
3.961762120E-1,-1.741793513E0,-2.861405373E0,-1.492728114E0,3.667386341E0
4.061730870E-1,-1.653170824E0,-3.990077019E0,-2.653578281E0,5.069039957E0
4.161790770E-1,-1.568360567E0,-4.028054237E0,-2.734713078E0,5.115039728E0
4.261759520E-1,-1.487053394E0,-4.759291649E0,-3.683839560E0,6.199424062E0
4.361759520E-1,-1.603709936E0,-4.664141178E0,-3.709260702E0,6.171281345E0
4.461764720E-1,-1.523614764E0,-4.518316269E0,-4.417602062E0,6.500137832E0
4.561717850E-1,-1.446524382E0,-4.315424919E0,-4.356927395E0,6.300646105E0
4.661741290E-1,-1.372218966E0,-3.483798027E0,-4.284660339E0,5.690179945E0
4.761667330E-1,-1.300499439E0,-3.293185234E0,-4.188466072E0,5.484488656E0
4.861550140E-1,-1.426534414E0,-1.947364807E0,-4.043446541E0,4.709213316E0
4.961546490E-1,-1.355022192E0,-1.883561134E0,-3.847537756E0,4.493042897E0
5.061622020E-1,-1.285799503E0,-1.822148323E0,-3.104088306E0,3.822155032E0
